Record,Date,UTC Time,Frecuencia,Presion,caudal1,caudal2
     78001, 1/02/1970,21:09:15,   1.000000E+00,   1.451472E+01,   7.575758E-01,   1.645673E+01
     78002, 1/02/1970,21:09:15,   1.000000E+00,   1.444908E+01,   7.575758E-01,   1.702229E+01
     78003, 1/02/1970,21:09:15,   1.000000E+00,   1.448190E+01,   7.575758E-01,   1.710546E+01
     78004, 1/02/1970,21:09:16,   1.000000E+00,   1.453113E+01,   7.575758E-01,   1.615731E+01
     78005, 1/02/1970,21:09:16,   1.000000E+00,   1.426036E+01,   7.575758E-01,   1.791314E+01
     78006, 1/02/1970,21:09:17,   1.000000E+00,   1.448190E+01,   7.575758E-01,   1.645303E+01
     78007, 1/02/1970,21:09:17,   1.000000E+00,   1.451472E+01,   7.575758E-01,   1.700565E+01
     78008, 1/02/1970,21:09:17,   1.000000E+00,   1.442446E+01,   7.575758E-01,   1.716275E+01
     78009, 1/02/1970,21:09:18,   1.000000E+00,   1.447369E+01,   7.575758E-01,   1.616471E+01
     78010, 1/02/1970,21:09:18,   1.000000E+00,   1.442446E+01,   7.575758E-01,   1.808502E+01
     78011, 1/02/1970,21:09:19,   1.000000E+00,   1.443267E+01,   7.575758E-01,   1.641976E+01
     78012, 1/02/1970,21:09:19,   1.000000E+00,   1.444908E+01,   7.575758E-01,   1.708143E+01
     78013, 1/02/1970,21:09:19,   1.000000E+00,   1.449831E+01,   7.575758E-01,   1.739378E+01
     78014, 1/02/1970,21:09:20,   1.000000E+00,   1.440805E+01,   7.575758E-01,   1.618504E+01
     78015, 1/02/1970,21:09:20,   1.000000E+00,   1.423575E+01,   7.575758E-01,   1.809241E+01
     78016, 1/02/1970,21:09:21,   1.000000E+00,   1.450651E+01,   7.575758E-01,   1.668406E+01
     78017, 1/02/1970,21:09:21,   1.000000E+00,   1.438344E+01,   7.575758E-01,   1.732540E+01
     78018, 1/02/1970,21:09:21,   1.000000E+00,   1.444087E+01,   7.575758E-01,   1.760633E+01
     78019, 1/02/1970,21:09:22,   1.000000E+00,   1.448190E+01,   7.575758E-01,   1.638280E+01
     78020, 1/02/1970,21:09:22,   1.000000E+00,   1.442446E+01,   7.575758E-01,   1.817189E+01
     78021, 1/02/1970,21:09:23,   1.000000E+00,   1.446549E+01,   7.575758E-01,   1.639573E+01
     78022, 1/02/1970,21:09:23,   1.000000E+00,   1.450651E+01,   7.575758E-01,   1.698717E+01
     78023, 1/02/1970,21:09:23,   1.000000E+00,   1.442446E+01,   7.575758E-01,   1.716460E+01
     78024, 1/02/1970,21:09:24,   1.000000E+00,   1.445728E+01,   7.575758E-01,   1.601685E+01
     78025, 1/02/1970,21:09:24,   1.000000E+00,   1.431780E+01,   7.575758E-01,   1.772646E+01
     78026, 1/02/1970,21:09:25,   1.000000E+00,   1.442446E+01,   7.575758E-01,   1.628669E+01
     78027, 1/02/1970,21:09:25,   1.000000E+00,   1.444908E+01,   7.575758E-01,   1.709622E+01
     78028, 1/02/1970,21:09:25,   1.000000E+00,   1.450651E+01,   7.575758E-01,   1.751946E+01
     78029, 1/02/1970,21:09:26,   1.000000E+00,   1.441626E+01,   7.575758E-01,   1.640683E+01
     78030, 1/02/1970,21:09:26,   1.000000E+00,   1.432600E+01,   7.575758E-01,   1.812938E+01
     78031, 1/02/1970,21:09:27,   1.000000E+00,   1.450651E+01,   7.575758E-01,   1.645118E+01
     78032, 1/02/1970,21:09:27,   1.000000E+00,   1.440805E+01,   7.575758E-01,   1.725147E+01
     78033, 1/02/1970,21:09:27,   1.000000E+00,   1.448190E+01,   7.575758E-01,   1.752501E+01
     78034, 1/02/1970,21:09:28,   1.000000E+00,   1.449831E+01,   7.575758E-01,   1.621830E+01
     78035, 1/02/1970,21:09:28,   1.000000E+00,   1.457215E+01,   7.575758E-01,   1.822179E+01
     78036, 1/02/1970,21:09:29,   1.000000E+00,   1.444908E+01,   7.575758E-01,   1.696869E+01
     78037, 1/02/1970,21:09:29,   1.000000E+00,   1.446549E+01,   7.575758E-01,   1.760448E+01
     78038, 1/02/1970,21:09:29,   1.000000E+00,   1.441626E+01,   7.575758E-01,   1.790390E+01
     78039, 1/02/1970,21:09:30,   1.000000E+00,   1.446549E+01,   7.575758E-01,   1.638280E+01
     78040, 1/02/1970,21:09:30,   1.000000E+00,   1.453933E+01,   7.575758E-01,   1.824027E+01
     78041, 1/02/1970,21:09:31,   1.000000E+00,   1.442446E+01,   7.575758E-01,   1.679495E+01
     78042, 1/02/1970,21:09:31,   1.000000E+00,   1.447369E+01,   7.575758E-01,   1.747511E+01
     78043, 1/02/1970,21:09:31,   1.000000E+00,   1.446549E+01,   7.575758E-01,   1.785214E+01
     78044, 1/02/1970,21:09:32,   1.000000E+00,   1.440805E+01,   7.575758E-01,   1.668776E+01
     78045, 1/02/1970,21:09:32,   1.000000E+00,   1.458036E+01,   7.575758E-01,   1.841031E+01
     78046, 1/02/1970,21:09:33,   1.000000E+00,   1.443267E+01,   7.575758E-01,   1.678386E+01
     78047, 1/02/1970,21:09:33,   1.000000E+00,   1.439985E+01,   7.575758E-01,   1.702968E+01
     78048, 1/02/1970,21:09:33,   1.000000E+00,   1.445728E+01,   7.575758E-01,   1.728289E+01
     78049, 1/02/1970,21:09:34,   1.000000E+00,   1.439164E+01,   7.575758E-01,   1.610002E+01
     78050, 1/02/1970,21:09:34,   1.000000E+00,   1.436703E+01,   7.575758E-01,   1.788356E+01
     78051, 1/02/1970,21:09:35,   1.000000E+00,   1.447369E+01,   7.575758E-01,   1.647151E+01
     78052, 1/02/1970,21:09:35,   1.000000E+00,   1.439985E+01,   7.575758E-01,   1.696499E+01
     78053, 1/02/1970,21:09:35,   1.000000E+00,   1.440805E+01,   7.575758E-01,   1.722929E+01
     78054, 1/02/1970,21:09:36,   1.000000E+00,   1.442446E+01,   7.575758E-01,   1.612404E+01
     78055, 1/02/1970,21:09:36,   1.000000E+00,   1.460497E+01,   7.575758E-01,   1.782812E+01
     78056, 1/02/1970,21:09:37,   1.000000E+00,   1.444908E+01,   7.575758E-01,   1.656947E+01
     78057, 1/02/1970,21:09:37,   1.000000E+00,   1.442446E+01,   7.575758E-01,   1.692248E+01
     78058, 1/02/1970,21:09:37,   1.000000E+00,   1.439164E+01,   7.575758E-01,   1.751392E+01
     78059, 1/02/1970,21:09:38,   1.000000E+00,   1.439985E+01,   7.575758E-01,   1.625896E+01
     78060, 1/02/1970,21:09:38,   1.000000E+00,   1.460497E+01,   7.575758E-01,   1.801109E+01
     78061, 1/02/1970,21:09:39,   1.000000E+00,   1.439164E+01,   7.575758E-01,   1.668406E+01
     78062, 1/02/1970,21:09:39,   1.000000E+00,   1.439164E+01,   7.575758E-01,   1.711470E+01
     78063, 1/02/1970,21:09:39,   1.000000E+00,   1.447369E+01,   7.575758E-01,   1.760818E+01
     78064, 1/02/1970,21:09:40,   1.000000E+00,   1.437523E+01,   7.575758E-01,   1.620352E+01
     78065, 1/02/1970,21:09:40,   1.000000E+00,   1.458856E+01,   7.575758E-01,   1.810720E+01
     78066, 1/02/1970,21:09:41,   1.000000E+00,   1.444087E+01,   7.575758E-01,   1.668406E+01
     78067, 1/02/1970,21:09:41,   1.000000E+00,   1.435062E+01,   7.575758E-01,   1.708882E+01
     78068, 1/02/1970,21:09:41,   1.000000E+00,   1.438344E+01,   7.575758E-01,   1.744738E+01
     78069, 1/02/1970,21:09:42,   1.000000E+00,   1.442446E+01,   7.575758E-01,   1.643824E+01
     78070, 1/02/1970,21:09:42,   1.000000E+00,   1.452292E+01,   7.575758E-01,   1.808502E+01
     78071, 1/02/1970,21:09:43,   1.000000E+00,   1.439164E+01,   7.575758E-01,   1.688552E+01
     78072, 1/02/1970,21:09:43,   1.000000E+00,   1.443267E+01,   7.575758E-01,   1.722374E+01
     78073, 1/02/1970,21:09:43,   1.000000E+00,   1.431780E+01,   7.575758E-01,   1.768026E+01
     78074, 1/02/1970,21:09:44,   1.000000E+00,   1.435062E+01,   7.575758E-01,   1.629223E+01
     78075, 1/02/1970,21:09:44,   1.000000E+00,   1.451472E+01,   7.575758E-01,   1.811090E+01
     78076, 1/02/1970,21:09:45,   1.000000E+00,   1.434241E+01,   7.575758E-01,   1.677093E+01
     78077, 1/02/1970,21:09:45,   1.000000E+00,   1.436703E+01,   7.575758E-01,   1.692987E+01
     78078, 1/02/1970,21:09:45,   1.000000E+00,   1.450651E+01,   7.575758E-01,   1.728289E+01
     78079, 1/02/1970,21:09:46,   1.000000E+00,   1.432600E+01,   7.575758E-01,   1.589671E+01
     78080, 1/02/1970,21:09:46,   1.000000E+00,   1.460497E+01,   7.575758E-01,   1.787063E+01
     78081, 1/02/1970,21:09:47,   1.000000E+00,   1.445728E+01,   7.575758E-01,   1.634953E+01
     78082, 1/02/1970,21:09:47,   1.000000E+00,   1.432600E+01,   7.575758E-01,   1.676538E+01
     78083, 1/02/1970,21:09:47,   1.000000E+00,   1.444087E+01,   7.575758E-01,   1.747880E+01
     78084, 1/02/1970,21:09:48,   1.000000E+00,   1.447369E+01,   7.575758E-01,   1.627190E+01
     78085, 1/02/1970,21:09:48,   1.000000E+00,   1.451472E+01,   7.575758E-01,   1.812383E+01
     78086, 1/02/1970,21:09:49,   1.000000E+00,   1.440805E+01,   7.575758E-01,   1.647151E+01
     78087, 1/02/1970,21:09:49,   1.000000E+00,   1.446549E+01,   7.575758E-01,   1.702598E+01
     78088, 1/02/1970,21:09:49,   1.000000E+00,   1.435882E+01,   7.575758E-01,   1.746032E+01
     78089, 1/02/1970,21:09:50,   1.000000E+00,   1.441626E+01,   7.575758E-01,   1.605196E+01
     78090, 1/02/1970,21:09:50,   1.000000E+00,   1.467061E+01,   7.575758E-01,   1.817743E+01
     78091, 1/02/1970,21:09:51,   1.000000E+00,   1.438344E+01,   7.575758E-01,   1.676169E+01
     78092, 1/02/1970,21:09:51,   1.000000E+00,   1.441626E+01,   7.575758E-01,   1.712394E+01
     78093, 1/02/1970,21:09:51,   1.000000E+00,   1.444087E+01,   7.575758E-01,   1.770983E+01
     78094, 1/02/1970,21:09:52,   1.000000E+00,   1.439164E+01,   7.575758E-01,   1.621276E+01
     78095, 1/02/1970,21:09:52,   1.000000E+00,   1.455574E+01,   7.575758E-01,   1.802033E+01
     78096, 1/02/1970,21:09:53,   1.000000E+00,   1.441626E+01,   7.575758E-01,   1.659904E+01
     78097, 1/02/1970,21:09:53,   1.000000E+00,   1.439985E+01,   7.575758E-01,   1.707958E+01
     78098, 1/02/1970,21:09:53,   1.000000E+00,   1.446549E+01,   7.575758E-01,   1.770059E+01
     78099, 1/02/1970,21:09:54,   1.000000E+00,   1.439985E+01,   7.575758E-01,   1.648445E+01
     78100, 1/02/1970,21:09:54,   1.000000E+00,   1.447369E+01,   7.575758E-01,   1.811090E+01
     78101, 1/02/1970,21:09:55,   1.000000E+00,   1.445728E+01,   7.575758E-01,   1.702414E+01
     78102, 1/02/1970,21:09:55,   1.000000E+00,   1.443267E+01,   7.575758E-01,   1.729028E+01
     78103, 1/02/1970,21:09:55,   1.000000E+00,   1.444908E+01,   7.575758E-01,   1.791129E+01
     78104, 1/02/1970,21:09:56,   1.000000E+00,   1.449831E+01,   7.575758E-01,   1.631996E+01
     78105, 1/02/1970,21:09:56,   1.000000E+00,   1.456395E+01,   7.575758E-01,   1.825876E+01
     78106, 1/02/1970,21:09:57,   1.000000E+00,   1.446549E+01,   7.575758E-01,   1.692987E+01
     78107, 1/02/1970,21:09:57,   1.000000E+00,   1.452292E+01,   7.575758E-01,   1.713688E+01
     78108, 1/02/1970,21:09:57,   1.000000E+00,   1.445728E+01,   7.575758E-01,   1.784845E+01
     78109, 1/02/1970,21:09:58,   1.000000E+00,   1.445728E+01,   7.575758E-01,   1.643270E+01
     78110, 1/02/1970,21:09:58,   1.000000E+00,   1.467882E+01,   7.575758E-01,   1.825876E+01
     78111, 1/02/1970,21:09:59,   1.000000E+00,   1.449010E+01,   7.575758E-01,   1.676723E+01
     78112, 1/02/1970,21:09:59,   1.000000E+00,   1.445728E+01,   7.575758E-01,   1.696869E+01
     78113, 1/02/1970,21:09:59,   1.000000E+00,   1.449010E+01,   7.575758E-01,   1.764884E+01
     78114, 1/02/1970,21:10:00,   1.000000E+00,   1.445728E+01,   7.575758E-01,   1.619798E+01
     78115, 1/02/1970,21:10:00,   1.000000E+00,   1.449010E+01,   7.575758E-01,   1.815341E+01
     78116, 1/02/1970,21:10:01,   1.000000E+00,   1.453113E+01,   7.575758E-01,   1.666188E+01
     78117, 1/02/1970,21:10:01,   1.000000E+00,   1.446549E+01,   7.575758E-01,   1.699456E+01
     78118, 1/02/1970,21:10:01,   1.000000E+00,   1.444908E+01,   7.575758E-01,   1.764884E+01
     78119, 1/02/1970,21:10:02,   1.000000E+00,   1.450651E+01,   7.575758E-01,   1.618504E+01
     78120, 1/02/1970,21:10:02,   1.000000E+00,   1.444908E+01,   7.575758E-01,   1.813308E+01
     78121, 1/02/1970,21:10:03,   1.000000E+00,   1.451472E+01,   7.575758E-01,   1.707034E+01
     78122, 1/02/1970,21:10:03,   1.000000E+00,   1.452292E+01,   7.575758E-01,   1.713318E+01
     78123, 1/02/1970,21:10:03,   1.000000E+00,   1.446549E+01,   7.575758E-01,   1.777821E+01
     78124, 1/02/1970,21:10:04,   1.000000E+00,   1.450651E+01,   7.575758E-01,   1.602794E+01
     78125, 1/02/1970,21:10:04,   1.000000E+00,   1.455574E+01,   7.575758E-01,   1.785584E+01
     78126, 1/02/1970,21:10:05,   1.000000E+00,   1.444087E+01,   7.575758E-01,   1.680974E+01
     78127, 1/02/1970,21:10:05,   1.000000E+00,   1.449831E+01,   7.575758E-01,   1.677647E+01
     78128, 1/02/1970,21:10:05,   1.000000E+00,   1.457215E+01,   7.575758E-01,   1.773201E+01
     78129, 1/02/1970,21:10:06,   1.000000E+00,   1.444908E+01,   7.575758E-01,   1.614622E+01
     78130, 1/02/1970,21:10:06,   1.000000E+00,   1.459677E+01,   7.575758E-01,   1.784845E+01
     78131, 1/02/1970,21:10:07,   1.000000E+00,   1.454754E+01,   7.575758E-01,   1.680420E+01
     78132, 1/02/1970,21:10:07,   1.000000E+00,   1.445728E+01,   7.575758E-01,   1.680050E+01
     78133, 1/02/1970,21:10:07,   1.000000E+00,   1.449831E+01,   7.575758E-01,   1.772831E+01
     78134, 1/02/1970,21:10:08,   1.000000E+00,   1.457215E+01,   7.575758E-01,   1.616101E+01
     78135, 1/02/1970,21:10:08,   1.000000E+00,   1.451472E+01,   7.575758E-01,   1.800555E+01
     78136, 1/02/1970,21:10:09,   1.000000E+00,   1.451472E+01,   7.575758E-01,   1.705186E+01
     78137, 1/02/1970,21:10:09,   1.000000E+00,   1.458856E+01,   7.575758E-01,   1.700381E+01
     78138, 1/02/1970,21:10:09,   1.000000E+00,   1.448190E+01,   7.575758E-01,   1.762111E+01
     78139, 1/02/1970,21:10:10,   1.000000E+00,   1.451472E+01,   7.575758E-01,   1.590595E+01
     78140, 1/02/1970,21:10:10,   1.000000E+00,   1.462959E+01,   7.575758E-01,   1.781518E+01
     78141, 1/02/1970,21:10:11,   1.000000E+00,   1.450651E+01,   7.575758E-01,   1.685410E+01
