Record,Date,UTC Time,Frecuencia,Presion,caudal1,caudal2
     36001, 1/01/1970, 4:36:09,   5.555555E+00,   1.494958E+01,   7.575758E-01,   1.664155E+01
     36002, 1/01/1970, 4:36:10,   5.555555E+00,   1.493318E+01,   7.575758E-01,   1.685410E+01
     36003, 1/01/1970, 4:36:10,   5.555555E+00,   1.485933E+01,   7.575758E-01,   1.675614E+01
     36004, 1/01/1970, 4:36:11,   5.555555E+00,   1.497420E+01,   7.575758E-01,   1.662861E+01
     36005, 1/01/1970, 4:36:11,   5.555555E+00,   1.485933E+01,   7.575758E-01,   1.644749E+01
     36006, 1/01/1970, 4:36:11,   5.555555E+00,   1.490856E+01,   7.575758E-01,   1.649000E+01
     36007, 1/01/1970, 4:36:12,   5.555555E+00,   1.493318E+01,   7.575758E-01,   1.683562E+01
     36008, 1/01/1970, 4:36:12,   5.555555E+00,   1.486753E+01,   7.575758E-01,   1.701305E+01
     36009, 1/01/1970, 4:36:13,   5.555555E+00,   1.488395E+01,   7.575758E-01,   1.716460E+01
     36010, 1/01/1970, 4:36:13,   5.555555E+00,   1.493318E+01,   7.575758E-01,   1.697423E+01
     36011, 1/01/1970, 4:36:13,   5.555555E+00,   1.492497E+01,   7.575758E-01,   1.699456E+01
     36012, 1/01/1970, 4:36:14,   5.555555E+00,   1.479369E+01,   7.575758E-01,   1.712579E+01
     36013, 1/01/1970, 4:36:14,   5.555555E+00,   1.491677E+01,   7.575758E-01,   1.736421E+01
     36014, 1/01/1970, 4:36:15,   5.555555E+00,   1.481010E+01,   7.575758E-01,   1.739563E+01
     36015, 1/01/1970, 4:36:15,   5.555555E+00,   1.485112E+01,   7.575758E-01,   1.704816E+01
     36016, 1/01/1970, 4:36:15,   5.555555E+00,   1.506446E+01,   7.575758E-01,   1.697978E+01
     36017, 1/01/1970, 4:36:16,   5.555555E+00,   1.480189E+01,   7.575758E-01,   1.688552E+01
     36018, 1/01/1970, 4:36:16,   5.555555E+00,   1.481831E+01,   7.575758E-01,   1.671733E+01
     36019, 1/01/1970, 4:36:17,   5.555555E+00,   1.490856E+01,   7.575758E-01,   1.673766E+01
     36020, 1/01/1970, 4:36:17,   5.555555E+00,   1.476087E+01,   7.575758E-01,   1.653251E+01
     36021, 1/01/1970, 4:36:17,   5.555555E+00,   1.501523E+01,   7.575758E-01,   1.664340E+01
     36022, 1/01/1970, 4:36:18,   5.555555E+00,   1.480189E+01,   7.575758E-01,   1.687628E+01
     36023, 1/01/1970, 4:36:18,   5.555555E+00,   1.478548E+01,   7.575758E-01,   1.683746E+01
     36024, 1/01/1970, 4:36:19,   5.555555E+00,   1.482651E+01,   7.575758E-01,   1.653065E+01
     36025, 1/01/1970, 4:36:19,   5.555555E+00,   1.478548E+01,   7.575758E-01,   1.661013E+01
     36026, 1/01/1970, 4:36:19,   5.555555E+00,   1.483471E+01,   7.575758E-01,   1.685779E+01
     36027, 1/01/1970, 4:36:20,   5.555555E+00,   1.479369E+01,   7.575758E-01,   1.684116E+01
     36028, 1/01/1970, 4:36:20,   5.555555E+00,   1.481831E+01,   7.575758E-01,   1.673027E+01
     36029, 1/01/1970, 4:36:21,   5.555555E+00,   1.478548E+01,   7.575758E-01,   1.670809E+01
     36030, 1/01/1970, 4:36:21,   5.555555E+00,   1.479369E+01,   7.575758E-01,   1.668961E+01
     36031, 1/01/1970, 4:36:21,   5.555555E+00,   1.479369E+01,   7.575758E-01,   1.651217E+01
     36032, 1/01/1970, 4:36:22,   5.555555E+00,   1.470343E+01,   7.575758E-01,   1.674875E+01
     36033, 1/01/1970, 4:36:22,   5.555555E+00,   1.478548E+01,   7.575758E-01,   1.623494E+01
