Record,Date,UTC Time,Frecuencia,Presion,caudal1,caudal2
     75001, 1/04/1970, 0:31:35,   5.555555E+00,   1.477728E+01,   1.363636E+00,   1.602424E+01
     75002, 1/04/1970, 0:31:36,   5.555555E+00,   1.481831E+01,   1.363636E+00,   1.583757E+01
     75003, 1/04/1970, 0:31:36,   5.555555E+00,   1.479369E+01,   1.363636E+00,   1.583202E+01
     75004, 1/04/1970, 0:31:37,   5.555555E+00,   1.481010E+01,   1.363636E+00,   1.576364E+01
     75005, 1/04/1970, 0:31:37,   5.555555E+00,   1.489215E+01,   1.363636E+00,   1.597249E+01
     75006, 1/04/1970, 0:31:37,   5.555555E+00,   1.470343E+01,   1.363636E+00,   1.571374E+01
     75007, 1/04/1970, 0:31:38,   5.555555E+00,   1.482651E+01,   1.363636E+00,   1.559915E+01
     75008, 1/04/1970, 0:31:38,   5.555555E+00,   1.486753E+01,   1.363636E+00,   1.554555E+01
     75009, 1/04/1970, 0:31:39,   5.555555E+00,   1.471164E+01,   1.363636E+00,   1.579321E+01
     75010, 1/04/1970, 0:31:39,   5.555555E+00,   1.468702E+01,   1.363636E+00,   1.575070E+01
     75011, 1/04/1970, 0:31:39,   5.555555E+00,   1.476087E+01,   1.363636E+00,   1.571004E+01
     75012, 1/04/1970, 0:31:40,   5.555555E+00,   1.469523E+01,   1.666667E+00,   1.560099E+01
     75013, 1/04/1970, 0:31:40,   5.555555E+00,   1.477728E+01,   1.666667E+00,   1.576733E+01
     75014, 1/04/1970, 0:31:41,   5.555555E+00,   1.487574E+01,   3.030303E+00,   1.569895E+01
     75015, 1/04/1970, 0:31:41,   5.555555E+00,   1.462959E+01,   3.030303E+00,   1.576549E+01
     75016, 1/04/1970, 0:31:41,   5.555555E+00,   1.471984E+01,   3.030303E+00,   1.583387E+01
     75017, 1/04/1970, 0:31:42,   5.555555E+00,   1.479369E+01,   3.030303E+00,   1.601870E+01
     75018, 1/04/1970, 0:31:42,   5.555555E+00,   1.490856E+01,   3.030303E+00,   1.594107E+01
     75019, 1/04/1970, 0:31:43,   5.555555E+00,   1.479369E+01,   3.030303E+00,   1.602794E+01
     75020, 1/04/1970, 0:31:43,   5.555555E+00,   1.468702E+01,   3.030303E+00,   1.591335E+01
     75021, 1/04/1970, 0:31:43,   5.555555E+00,   1.480189E+01,   3.030303E+00,   1.587453E+01
     75022, 1/04/1970, 0:31:44,   5.555555E+00,   1.473625E+01,   3.030303E+00,   1.583757E+01
     75023, 1/04/1970, 0:31:44,   5.555555E+00,   1.486753E+01,   3.030303E+00,   1.587638E+01
     75024, 1/04/1970, 0:31:45,   5.555555E+00,   1.485112E+01,   3.030303E+00,   1.591150E+01
     75025, 1/04/1970, 0:31:45,   5.555555E+00,   1.462959E+01,   3.030303E+00,   1.595770E+01
     75026, 1/04/1970, 0:31:45,   5.555555E+00,   1.471164E+01,   3.030303E+00,   1.575809E+01
     75027, 1/04/1970, 0:31:46,   5.555555E+00,   1.481831E+01,   3.030303E+00,   1.569156E+01
     75028, 1/04/1970, 0:31:46,   5.555555E+00,   1.482651E+01,   3.030303E+00,   1.590595E+01
     75029, 1/04/1970, 0:31:47,   5.555555E+00,   1.486753E+01,   3.030303E+00,   1.561763E+01
     75030, 1/04/1970, 0:31:47,   5.555555E+00,   1.473625E+01,   3.030303E+00,   1.561763E+01
     75031, 1/04/1970, 0:31:47,   5.555555E+00,   1.477728E+01,   3.030303E+00,   1.563981E+01
     75032, 1/04/1970, 0:31:48,   5.555555E+00,   1.473625E+01,   3.030303E+00,   1.571743E+01
     75033, 1/04/1970, 0:31:48,   5.555555E+00,   1.476087E+01,   3.030303E+00,   1.569341E+01
     75034, 1/04/1970, 0:31:49,   5.555555E+00,   1.478548E+01,   3.030303E+00,   1.598912E+01
     75035, 1/04/1970, 0:31:49,   5.555555E+00,   1.467061E+01,   3.030303E+00,   1.607969E+01
     75036, 1/04/1970, 0:31:49,   5.555555E+00,   1.476907E+01,   3.030303E+00,   1.626636E+01
