Record,Date,UTC Time,Frecuencia,Presion,caudal1,caudal2
    114001, 1/04/1970, 7:29:48,   5.555555E+00,   1.464600E+01,   2.424242E+00,   1.697978E+01
    114002, 1/04/1970, 7:29:48,   5.555555E+00,   1.484292E+01,   2.424242E+00,   1.699271E+01
    114003, 1/04/1970, 7:29:49,   5.555555E+00,   1.474446E+01,   2.424242E+00,   1.673027E+01
    114004, 1/04/1970, 7:29:49,   5.555555E+00,   1.476087E+01,   2.424242E+00,   1.668776E+01
    114005, 1/04/1970, 7:29:49,   5.555555E+00,   1.505625E+01,   2.424242E+00,   1.681898E+01
    114006, 1/04/1970, 7:29:50,   5.555555E+00,   1.461318E+01,   2.424242E+00,   1.691324E+01
    114007, 1/04/1970, 7:29:50,   5.555555E+00,   1.478548E+01,   2.424242E+00,   1.692987E+01
    114008, 1/04/1970, 7:29:51,   5.555555E+00,   1.485933E+01,   2.424242E+00,   1.670809E+01
    114009, 1/04/1970, 7:29:51,   5.555555E+00,   1.471164E+01,   2.424242E+00,   1.649369E+01
    114010, 1/04/1970, 7:29:51,   5.555555E+00,   1.503164E+01,   1.363636E+00,   1.674875E+01
    114011, 1/04/1970, 7:29:52,   5.555555E+00,   1.469523E+01,   1.363636E+00,   1.707773E+01
    114012, 1/04/1970, 7:29:52,   5.555555E+00,   1.474446E+01,   1.363636E+00,   1.686703E+01
    114013, 1/04/1970, 7:29:53,   5.555555E+00,   1.477728E+01,   1.363636E+00,   1.675245E+01
    114014, 1/04/1970, 7:29:53,   5.555555E+00,   1.479369E+01,   1.363636E+00,   1.654914E+01
    114015, 1/04/1970, 7:29:53,   5.555555E+00,   1.467882E+01,   1.363636E+00,   1.676538E+01
    114016, 1/04/1970, 7:29:54,   5.555555E+00,   1.471984E+01,   1.363636E+00,   1.674320E+01
    114017, 1/04/1970, 7:29:54,   5.555555E+00,   1.482651E+01,   1.363636E+00,   1.659719E+01
    114018, 1/04/1970, 7:29:55,   5.555555E+00,   1.476907E+01,   1.363636E+00,   1.657686E+01
    114019, 1/04/1970, 7:29:55,   5.555555E+00,   1.467061E+01,   1.363636E+00,   1.663416E+01
    114020, 1/04/1970, 7:29:55,   5.555555E+00,   1.470343E+01,   1.363636E+00,   1.671548E+01
    114021, 1/04/1970, 7:29:56,   5.555555E+00,   1.465420E+01,   1.363636E+00,   1.683562E+01
    114022, 1/04/1970, 7:29:56,   5.555555E+00,   1.478548E+01,   1.363636E+00,   1.657871E+01
    114023, 1/04/1970, 7:29:57,   5.555555E+00,   1.484292E+01,   1.363636E+00,   1.675245E+01
    114024, 1/04/1970, 7:29:57,   5.555555E+00,   1.467061E+01,   1.363636E+00,   1.675799E+01
    114025, 1/04/1970, 7:29:57,   5.555555E+00,   1.460497E+01,   1.363636E+00,   1.687443E+01
    114026, 1/04/1970, 7:29:58,   5.555555E+00,   1.479369E+01,   1.363636E+00,   1.687812E+01
    114027, 1/04/1970, 7:29:58,   5.555555E+00,   1.476907E+01,   1.363636E+00,   1.685964E+01
    114028, 1/04/1970, 7:29:59,   5.555555E+00,   1.478548E+01,   1.363636E+00,   1.657871E+01
    114029, 1/04/1970, 7:29:59,   5.555555E+00,   1.477728E+01,   1.363636E+00,   1.654175E+01
    114030, 1/04/1970, 7:29:59,   5.555555E+00,   1.453933E+01,   1.363636E+00,   1.683931E+01
    114031, 1/04/1970, 7:30:00,   5.555555E+00,   1.472805E+01,   1.363636E+00,   1.698902E+01
    114032, 1/04/1970, 7:30:00,   5.555555E+00,   1.482651E+01,   1.363636E+00,   1.706110E+01
    114033, 1/04/1970, 7:30:01,   5.555555E+00,   1.463779E+01,   1.363636E+00,   1.705186E+01
    114034, 1/04/1970, 7:30:01,   5.555555E+00,   1.488395E+01,   1.363636E+00,   1.681713E+01
    114035, 1/04/1970, 7:30:01,   5.555555E+00,   1.463779E+01,   1.363636E+00,   1.710731E+01
    114036, 1/04/1970, 7:30:02,   5.555555E+00,   1.471164E+01,   1.363636E+00,   1.719602E+01
    114037, 1/04/1970, 7:30:02,   5.555555E+00,   1.480189E+01,   1.363636E+00,   1.705371E+01
    114038, 1/04/1970, 7:30:03,   5.555555E+00,   1.479369E+01,   1.363636E+00,   1.689661E+01
    114039, 1/04/1970, 7:30:03,   5.555555E+00,   1.488395E+01,   1.363636E+00,   1.683931E+01
    114040, 1/04/1970, 7:30:03,   5.555555E+00,   1.461318E+01,   1.363636E+00,   1.693727E+01
    114041, 1/04/1970, 7:30:04,   5.555555E+00,   1.478548E+01,   1.363636E+00,   1.686703E+01
    114042, 1/04/1970, 7:30:04,   5.555555E+00,   1.475266E+01,   1.363636E+00,   1.649924E+01
    114043, 1/04/1970, 7:30:05,   5.555555E+00,   1.471164E+01,   1.363636E+00,   1.691139E+01
    114044, 1/04/1970, 7:30:05,   5.555555E+00,   1.499061E+01,   1.363636E+00,   1.714242E+01
    114045, 1/04/1970, 7:30:05,   5.555555E+00,   1.467882E+01,   1.363636E+00,   1.727180E+01
    114046, 1/04/1970, 7:30:06,   5.555555E+00,   1.473625E+01,   1.363636E+00,   1.681898E+01
    114047, 1/04/1970, 7:30:06,   5.555555E+00,   1.480189E+01,   1.363636E+00,   1.674320E+01
    114048, 1/04/1970, 7:30:07,   5.555555E+00,   1.466241E+01,   1.363636E+00,   1.669700E+01
    114049, 1/04/1970, 7:30:07,   5.555555E+00,   1.474446E+01,   1.363636E+00,   1.699826E+01
    114050, 1/04/1970, 7:30:07,   5.555555E+00,   1.472805E+01,   1.363636E+00,   1.714057E+01
    114051, 1/04/1970, 7:30:08,   5.555555E+00,   1.477728E+01,   1.363636E+00,   1.727180E+01
    114052, 1/04/1970, 7:30:08,   5.555555E+00,   1.473625E+01,   1.363636E+00,   1.702044E+01
    114053, 1/04/1970, 7:30:09,   5.555555E+00,   1.473625E+01,   1.363636E+00,   1.664340E+01
    114054, 1/04/1970, 7:30:09,   5.555555E+00,   1.459677E+01,   1.363636E+00,   1.679495E+01
    114055, 1/04/1970, 7:30:09,   5.555555E+00,   1.465420E+01,   1.363636E+00,   1.701305E+01
    114056, 1/04/1970, 7:30:10,   5.555555E+00,   1.481831E+01,   1.363636E+00,   1.691509E+01
    114057, 1/04/1970, 7:30:10,   5.555555E+00,   1.481831E+01,   1.363636E+00,   1.680789E+01
    114058, 1/04/1970, 7:30:11,   5.555555E+00,   1.471164E+01,   1.363636E+00,   1.683007E+01
    114059, 1/04/1970, 7:30:11,   5.555555E+00,   1.456395E+01,   1.363636E+00,   1.704446E+01
    114060, 1/04/1970, 7:30:11,   5.555555E+00,   1.480189E+01,   1.363636E+00,   1.706295E+01
    114061, 1/04/1970, 7:30:12,   5.555555E+00,   1.476087E+01,   1.363636E+00,   1.696684E+01
    114062, 1/04/1970, 7:30:12,   5.555555E+00,   1.470343E+01,   1.363636E+00,   1.687258E+01
    114063, 1/04/1970, 7:30:13,   5.555555E+00,   1.499882E+01,   1.363636E+00,   1.698902E+01
    114064, 1/04/1970, 7:30:13,   5.555555E+00,   1.453113E+01,   1.363636E+00,   1.702414E+01
    114065, 1/04/1970, 7:30:13,   5.555555E+00,   1.478548E+01,   1.363636E+00,   1.670809E+01
    114066, 1/04/1970, 7:30:14,   5.555555E+00,   1.481831E+01,   1.363636E+00,   1.653435E+01
    114067, 1/04/1970, 7:30:14,   5.555555E+00,   1.471164E+01,   1.363636E+00,   1.648630E+01
    114068, 1/04/1970, 7:30:15,   5.555555E+00,   1.500702E+01,   1.363636E+00,   1.667112E+01
    114069, 1/04/1970, 7:30:15,   5.555555E+00,   1.475266E+01,   1.363636E+00,   1.649000E+01
    114070, 1/04/1970, 7:30:15,   5.555555E+00,   1.474446E+01,   1.363636E+00,   1.641422E+01
    114071, 1/04/1970, 7:30:16,   5.555555E+00,   1.478548E+01,   1.363636E+00,   1.661937E+01
    114072, 1/04/1970, 7:30:16,   5.555555E+00,   1.476907E+01,   1.363636E+00,   1.640498E+01
    114073, 1/04/1970, 7:30:17,   5.555555E+00,   1.487574E+01,   1.363636E+00,   1.657317E+01
    114074, 1/04/1970, 7:30:17,   5.555555E+00,   1.469523E+01,   1.363636E+00,   1.662492E+01
    114075, 1/04/1970, 7:30:17,   5.555555E+00,   1.484292E+01,   1.363636E+00,   1.668221E+01
    114076, 1/04/1970, 7:30:18,   5.555555E+00,   1.472805E+01,   1.363636E+00,   1.643824E+01
    114077, 1/04/1970, 7:30:18,   5.555555E+00,   1.468702E+01,   1.363636E+00,   1.644749E+01
    114078, 1/04/1970, 7:30:19,   5.555555E+00,   1.474446E+01,   1.363636E+00,   1.660828E+01
    114079, 1/04/1970, 7:30:19,   5.555555E+00,   1.461318E+01,   1.363636E+00,   1.673951E+01
    114080, 1/04/1970, 7:30:19,   5.555555E+00,   1.479369E+01,   1.363636E+00,   1.661752E+01
    114081, 1/04/1970, 7:30:20,   5.555555E+00,   1.485112E+01,   1.363636E+00,   1.662492E+01
    114082, 1/04/1970, 7:30:20,   5.555555E+00,   1.465420E+01,   1.363636E+00,   1.656392E+01
