Record,Date,UTC Time,Frecuencia,Presion,caudal1,caudal2
     45001, 1/02/1970,18:06:07,   5.000000E-01,   1.459677E+01,   4.545455E-01,   1.875408E+01
     45002, 1/02/1970,18:06:08,   5.000000E-01,   1.457215E+01,   4.545455E-01,   1.782072E+01
     45003, 1/02/1970,18:06:08,   5.000000E-01,   1.463779E+01,   4.545455E-01,   1.535333E+01
     45004, 1/02/1970,18:06:09,   5.000000E-01,   1.462138E+01,   4.545455E-01,   1.411501E+01
     45005, 1/02/1970,18:06:09,   5.000000E-01,   1.462959E+01,   4.545455E-01,   1.667297E+01
     45006, 1/02/1970,18:06:09,   5.000000E-01,   1.465420E+01,   4.545455E-01,   1.868570E+01
     45007, 1/02/1970,18:06:10,   5.000000E-01,   1.451472E+01,   4.545455E-01,   1.796674E+01
     45008, 1/02/1970,18:06:10,   5.000000E-01,   1.456395E+01,   4.545455E-01,   1.575070E+01
     45009, 1/02/1970,18:06:11,   5.000000E-01,   1.467882E+01,   4.545455E-01,   1.435344E+01
     45010, 1/02/1970,18:06:11,   5.000000E-01,   1.459677E+01,   4.545455E-01,   1.690954E+01
     45011, 1/02/1970,18:06:11,   5.000000E-01,   1.462138E+01,   4.545455E-01,   1.889640E+01
     45012, 1/02/1970,18:06:12,   5.000000E-01,   1.458036E+01,   4.545455E-01,   1.815710E+01
     45013, 1/02/1970,18:06:12,   5.000000E-01,   1.456395E+01,   4.545455E-01,   1.611665E+01
     45014, 1/02/1970,18:06:13,   5.000000E-01,   1.460497E+01,   4.545455E-01,   1.423884E+01
     45015, 1/02/1970,18:06:13,   5.000000E-01,   1.466241E+01,   4.545455E-01,   1.671918E+01
     45016, 1/02/1970,18:06:13,   5.000000E-01,   1.467061E+01,   4.545455E-01,   1.878735E+01
     45017, 1/02/1970,18:06:14,   5.000000E-01,   1.453933E+01,   4.545455E-01,   1.772831E+01
     45018, 1/02/1970,18:06:14,   5.000000E-01,   1.458856E+01,   4.545455E-01,   1.537551E+01
     45019, 1/02/1970,18:06:15,   5.000000E-01,   1.467882E+01,   4.545455E-01,   1.412980E+01
     45020, 1/02/1970,18:06:15,   5.000000E-01,   1.460497E+01,   4.545455E-01,   1.661752E+01
     45021, 1/02/1970,18:06:15,   5.000000E-01,   1.467061E+01,   4.545455E-01,   1.858405E+01
     45022, 1/02/1970,18:06:16,   5.000000E-01,   1.461318E+01,   4.545455E-01,   1.805915E+01
     45023, 1/02/1970,18:06:16,   5.000000E-01,   1.450651E+01,   4.545455E-01,   1.612589E+01
