Record,Date,UTC Time,Frecuencia,Presion,caudal1,caudal2
     39001, 1/02/1970, 3:48:31,   3.012048E+00,   1.469523E+01,   0.000000E+00,   2.018647E+01
     39002, 1/02/1970, 3:48:32,   3.012048E+00,   1.449010E+01,   0.000000E+00,   1.990738E+01
     39003, 1/02/1970, 3:48:32,   3.012048E+00,   1.461318E+01,   0.000000E+00,   1.940096E+01
     39004, 1/02/1970, 3:48:33,   3.012048E+00,   1.466241E+01,   0.000000E+00,   1.918842E+01
     39005, 1/02/1970, 3:48:33,   3.012048E+00,   1.456395E+01,   0.000000E+00,   1.932519E+01
     39006, 1/02/1970, 3:48:33,   3.012048E+00,   1.456395E+01,   0.000000E+00,   1.995174E+01
     39007, 1/02/1970, 3:48:34,   3.012048E+00,   1.462138E+01,   0.000000E+00,   2.062819E+01
     39008, 1/02/1970, 3:48:34,   3.012048E+00,   1.454754E+01,   0.000000E+00,   2.025670E+01
     39009, 1/02/1970, 3:48:35,   3.012048E+00,   1.462959E+01,   0.000000E+00,   1.967266E+01
     39010, 1/02/1970, 3:48:35,   3.012048E+00,   1.467882E+01,   0.000000E+00,   1.942684E+01
     39011, 1/02/1970, 3:48:35,   3.012048E+00,   1.457215E+01,   0.000000E+00,   2.028627E+01
     39012, 1/02/1970, 3:48:36,   3.012048E+00,   1.456395E+01,   0.000000E+00,   2.066701E+01
     39013, 1/02/1970, 3:48:36,   3.012048E+00,   1.468702E+01,   0.000000E+00,   2.010329E+01
     39014, 1/02/1970, 3:48:37,   3.012048E+00,   1.467061E+01,   0.000000E+00,   1.956176E+01
     39015, 1/02/1970, 3:48:37,   3.012048E+00,   1.465420E+01,   0.000000E+00,   1.963754E+01
     39016, 1/02/1970, 3:48:37,   3.012048E+00,   1.469523E+01,   0.000000E+00,   2.021419E+01
     39017, 1/02/1970, 3:48:38,   3.012048E+00,   1.461318E+01,   0.000000E+00,   2.055426E+01
     39018, 1/02/1970, 3:48:38,   3.012048E+00,   1.462959E+01,   0.000000E+00,   2.030106E+01
     39019, 1/02/1970, 3:48:39,   3.012048E+00,   1.470343E+01,   0.000000E+00,   1.989444E+01
     39020, 1/02/1970, 3:48:39,   3.012048E+00,   1.469523E+01,   0.000000E+00,   1.982421E+01
     39021, 1/02/1970, 3:48:39,   3.012048E+00,   1.467061E+01,   0.000000E+00,   2.026779E+01
     39022, 1/02/1970, 3:48:40,   3.012048E+00,   1.463779E+01,   0.000000E+00,   2.058753E+01
     39023, 1/02/1970, 3:48:40,   3.012048E+00,   1.466241E+01,   0.000000E+00,   1.997022E+01
     39024, 1/02/1970, 3:48:41,   3.012048E+00,   1.467061E+01,   0.000000E+00,   1.943423E+01
     39025, 1/02/1970, 3:48:41,   3.012048E+00,   1.472805E+01,   0.000000E+00,   1.931594E+01
     39026, 1/02/1970, 3:48:41,   3.012048E+00,   1.465420E+01,   0.000000E+00,   1.987226E+01
     39027, 1/02/1970, 3:48:42,   3.012048E+00,   1.458856E+01,   0.000000E+00,   2.023082E+01
     39028, 1/02/1970, 3:48:42,   3.012048E+00,   1.467061E+01,   0.000000E+00,   2.037868E+01
     39029, 1/02/1970, 3:48:43,   3.012048E+00,   1.474446E+01,   0.000000E+00,   1.978540E+01
     39030, 1/02/1970, 3:48:43,   3.012048E+00,   1.462138E+01,   0.000000E+00,   1.946196E+01
     39031, 1/02/1970, 3:48:43,   3.012048E+00,   1.464600E+01,   0.000000E+00,   1.960057E+01
     39032, 1/02/1970, 3:48:44,   3.012048E+00,   1.467061E+01,   0.000000E+00,   2.008481E+01
     39033, 1/02/1970, 3:48:44,   3.012048E+00,   1.462138E+01,   0.000000E+00,   2.000904E+01
     39034, 1/02/1970, 3:48:45,   3.012048E+00,   1.466241E+01,   0.000000E+00,   1.969668E+01
     39035, 1/02/1970, 3:48:45,   3.012048E+00,   1.472805E+01,   0.000000E+00,   1.910525E+01
     39036, 1/02/1970, 3:48:45,   3.012048E+00,   1.460497E+01,   0.000000E+00,   1.926604E+01
     39037, 1/02/1970, 3:48:46,   3.012048E+00,   1.467882E+01,   0.000000E+00,   1.961906E+01
