Record;Tiempo;Date;UTC Time;Frecuencia;Presion;caudal1;caudal2
1;0,4; 1/02/1970;18:32:56;3,5211;14,9004;   0.000000E+00;6,9568
2;0,8; 1/02/1970;18:32:57;3,5211;14,7855;   0.000000E+00;10,4629
3;1,2; 1/02/1970;18:32:57;3,5211;14,8511;   0.000000E+00;12,7621
4;1,6; 1/02/1970;18:32:57;3,5211;15,0234;   0.000000E+00;13,3073
5;2; 1/02/1970;18:32:58;3,5211;14,9578;   0.000000E+00;14,566
6;2,4; 1/02/1970;18:32:58;3,5211;14,8922;   0.000000E+00;14,8783
7;2,8; 1/02/1970;18:32:59;3,5211;14,8429;   0.000000E+00;15,0114
8;3,2; 1/02/1970;18:32:59;3,5211;15,0973;   0.000000E+00;14,2536
9;3,6; 1/02/1970;18:32:59;3,5211;15,0398;   0.000000E+00;15,1297
10;4; 1/02/1970;18:33:00;3,5211;14,9906;   0.000000E+00;15,4624
11;4,4; 1/02/1970;18:33:00;3,5211;15,1301;   0.000000E+00;15,6657
12;4,8; 1/02/1970;18:33:01;3,5211;14,9578;   0.000000E+00;16,1444
13;5,2; 1/02/1970;18:33:01;3,5211;15,0809;   0.000000E+00;15,8745
14;5,6; 1/02/1970;18:33:01;3,5211;15,2614;   0.000000E+00;16,2738
15;6; 1/02/1970;18:33:02;3,5211;15,0891;   0.000000E+00;16,3458
16;6,4; 1/02/1970;18:33:02;3,5211;15,1629;   0.000000E+00;16,1647
17;6,8; 1/02/1970;18:33:03;3,5211;15,2039;   0.000000E+00;16,3089
18;7,2; 1/02/1970;18:33:03;3,5211;15,1793;   0.000000E+00;15,9041
19;7,6; 1/02/1970;18:33:03;3,5211;15,286;   0.000000E+00;16,2867
20;8; 1/02/1970;18:33:04;3,5211;15,286;   0.000000E+00;16,3107
21;8,4; 1/02/1970;18:33:04;3,5211;15,368;   0.000000E+00;16,137
22;8,8; 1/02/1970;18:33:05;3,5211;15,2286;   0.000000E+00;16,3736
23;9,2; 1/02/1970;18:33:05;3,5211;15,368;   0.000000E+00;16,0132
24;9,6; 1/02/1970;18:33:05;3,5211;15,565;   0.000000E+00;16,3237
25;10; 1/02/1970;18:33:06;3,5211;15,3598;   0.000000E+00;16,0132
26;10,4; 1/02/1970;18:33:06;3,5211;15,4009;   0.000000E+00;15,7119
27;10,8; 1/02/1970;18:33:07;3,5211;15,4747;   0.000000E+00;16,0834
28;11,2; 1/02/1970;18:33:07;3,5211;15,4091;   0.000000E+00;15,516
29;11,6; 1/02/1970;18:33:07;3,5211;15,5896;   0.000000E+00;15,9207
30;12; 1/02/1970;18:33:08;3,5211;15,5978;   0.000000E+00;15,7784
31;12,4; 1/02/1970;18:33:08;3,5211;15,5896;   0.000000E+00;15,7322
32;12,8; 1/02/1970;18:33:09;3,5211;15,4829;   0.000000E+00;16,2202
33;13,2; 1/02/1970;18:33:09;3,5211;15,6552;   0.000000E+00;15,9337
34;13,6; 1/02/1970;18:33:09;3,5211;15,6224;   0.000000E+00;16,0686
35;14; 1/02/1970;18:33:10;3,5211;15,647;   0.000000E+00;15,9799
36;14,4; 1/02/1970;18:33:10;3,5211;15,7127;   0.000000E+00;15,7729
37;14,8; 1/02/1970;18:33:11;3,5211;15,6798;   0.000000E+00;15,7951
38;15,2; 1/02/1970;18:33:11;3,5211;15,7045;   0.000000E+00;15,7119
39;15,6; 1/02/1970;18:33:11;3,5211;15,8357;   0.000000E+00;15,9337
40;16; 1/02/1970;18:33:12;3,5211;15,7701;   0.000000E+00;15,8782
41;16,4; 1/02/1970;18:33:12;3,5211;15,7373;   0.000000E+00;15,7452
42;16,8; 1/02/1970;18:33:13;3,5211;15,8111;   0.000000E+00;15,8413
43;17,2; 1/02/1970;18:33:13;3,5211;15,8768;   0.000000E+00;15,7563
44;17,6; 1/02/1970;18:33:13;3,5211;15,8439;   0.000000E+00;15,9854
45;18; 1/02/1970;18:33:14;3,5211;15,885;   0.000000E+00;15,8579
46;18,4; 1/02/1970;18:33:14;3,5211;15,9424;   0.000000E+00;15,9854
47;18,8; 1/02/1970;18:33:15;3,5211;15,8111;   0.000000E+00;16,4309
48;19,2; 1/02/1970;18:33:15;3,5211;15,9424;   0.000000E+00;16,1573
49;19,6; 1/02/1970;18:33:15;3,5211;16,2788;   0.000000E+00;16,1462
50;20; 1/02/1970;18:33:16;3,5211;15,9178;   0.000000E+00;15,9244
51;20,4; 1/02/1970;18:33:16;3,5211;15,9916;   0.000000E+00;16,0279
52;20,8; 1/02/1970;18:33:17;3,5211;16,0573;   0.000000E+00;16,5325
53;21,2; 1/02/1970;18:33:17;3,5211;15,9506;   0.000000E+00;16,0169
54;21,6; 1/02/1970;18:33:17;3,5211;16,1639;   0.000000E+00;16,3588
55;22; 1/02/1970;18:33:18;3,5211;16,1393;   0.000000E+00;16,1
56;22,4; 1/02/1970;18:33:18;3,5211;16,0327;   0.000000E+00;15,8856
