Record;Tiempo;Date;UTC Time;Frecuencia;Presion;caudal1;caudal2
1;0,4; 1/02/1970;20:06:21;5,5556;14,3014;   0.000000E+00;15,5548
2;0,8; 1/02/1970;20:06:21;5,5556;14,367;   0.000000E+00;14,261
3;1,2; 1/02/1970;20:06:22;5,5556;14,4163;   0.000000E+00;13,8341
4;1,6; 1/02/1970;20:06:22;5,5556;14,3506;   0.000000E+00;15,3792
5;2; 1/02/1970;20:06:23;5,5556;14,4081;   0.000000E+00;18,1146
6;2,4; 1/02/1970;20:06:23;5,5556;14,4491;   0.000000E+00;18,9186
7;2,8; 1/02/1970;20:06:23;5,5556;14,3342;   0.000000E+00;19,1126
8;3,2; 1/02/1970;20:06:24;5,5556;14,3834;   0.000000E+00;16,9872
9;3,6; 1/02/1970;20:06:24;5,5556;14,4819;   0.000000E+00;15,9448
10;4; 1/02/1970;20:06:25;5,5556;14,3506;   0.000000E+00;16,2756
11;4,4; 1/02/1970;20:06:25;5,5556;14,3834;   0.000000E+00;17,3309
12;4,8; 1/02/1970;20:06:25;5,5556;14,4245;   0.000000E+00;17,8448
13;5,2; 1/02/1970;20:06:26;5,5556;14,3096;   0.000000E+00;18,0647
14;5,6; 1/02/1970;20:06:26;5,5556;14,3916;   0.000000E+00;17,9353
15;6; 1/02/1970;20:06:27;5,5556;14,3916;   0.000000E+00;17,7967
16;6,4; 1/02/1970;20:06:27;5,5556;14,3178;   0.000000E+00;17,7967
17;6,8; 1/02/1970;20:06:27;5,5556;14,3506;   0.000000E+00;17,891
18;7,2; 1/02/1970;20:06:28;5,5556;14,4573;   0.000000E+00;17,6544
19;7,6; 1/02/1970;20:06:28;5,5556;14,3916;   0.000000E+00;17,4954
20;8; 1/02/1970;20:06:29;5,5556;14,4081;   0.000000E+00;17,756
21;8,4; 1/02/1970;20:06:29;5,5556;14,4901;   0.000000E+00;18,353
22;8,8; 1/02/1970;20:06:29;5,5556;14,5229;   0.000000E+00;18,7855
23;9,2; 1/02/1970;20:06:30;5,5556;14,4163;   0.000000E+00;18,2772
24;9,6; 1/02/1970;20:06:30;5,5556;14,4491;   0.000000E+00;17,8429
25;10; 1/02/1970;20:06:31;5,5556;14,3506;   0.000000E+00;17,8947
26;10,4; 1/02/1970;20:06:31;5,5556;14,3752;   0.000000E+00;17,9021
27;10,8; 1/02/1970;20:06:31;5,5556;14,4819;   0.000000E+00;17,7986
28;11,2; 1/02/1970;20:06:32;5,5556;14,3999;   0.000000E+00;17,6156
29;11,6; 1/02/1970;20:06:32;5,5556;14,4819;   0.000000E+00;17,8022
30;12; 1/02/1970;20:06:33;5,5556;14,5147;   0.000000E+00;17,9168
31;12,4; 1/02/1970;20:06:33;5,5556;14,3588;   0.000000E+00;18,0425
32;12,8; 1/02/1970;20:06:33;5,5556;14,4983;   0.000000E+00;18,037
33;13,2; 1/02/1970;20:06:34;5,5556;14,5475;   0.000000E+00;17,793
34;13,6; 1/02/1970;20:06:34;5,5556;14,4901;   0.000000E+00;17,5934
35;14; 1/02/1970;20:06:35;5,5556;14,5722;   0.000000E+00;17,8817
36;14,4; 1/02/1970;20:06:35;5,5556;14,5722;   0.000000E+00;17,7708
37;14,8; 1/02/1970;20:06:35;5,5556;14,4737;   0.000000E+00;17,6784
38;15,2; 1/02/1970;20:06:36;5,5556;14,5229;   0.000000E+00;18,1072
39;15,6; 1/02/1970;20:06:36;5,5556;14,5804;   0.000000E+00;17,8706
40;16; 1/02/1970;20:06:37;5,5556;14,5311;   0.000000E+00;18,1497
41;16,4; 1/02/1970;20:06:37;5,5556;14,4983;   0.000000E+00;18,0037
42;16,8; 1/02/1970;20:06:37;5,5556;14,605;   0.000000E+00;17,7634
43;17,2; 1/02/1970;20:06:38;5,5556;14,5229;   0.000000E+00;17,6322
44;17,6; 1/02/1970;20:06:38;5,5556;14,5557;   0.000000E+00;17,817
45;18; 1/02/1970;20:06:39;5,5556;14,5968;   0.000000E+00;17,6784
46;18,4; 1/02/1970;20:06:39;5,5556;14,4901;   0.000000E+00;17,3494
47;18,8; 1/02/1970;20:06:39;5,5556;14,5475;   0.000000E+00;17,623
48;19,2; 1/02/1970;20:06:40;5,5556;14,6296;   0.000000E+00;17,4751
49;19,6; 1/02/1970;20:06:40;5,5556;14,5393;   0.000000E+00;17,6969
50;20; 1/02/1970;20:06:41;5,5556;14,5147;   0.000000E+00;17,9908
51;20,4; 1/02/1970;20:06:41;5,5556;14,6788;   0.000000E+00;17,6987
52;20,8; 1/02/1970;20:06:41;5,5556;14,5722;   0.000000E+00;17,5971
53;21,2; 1/02/1970;20:06:42;5,5556;14,6296;   0.000000E+00;17,5121
54;21,6; 1/02/1970;20:06:42;5,5556;14,6378;   0.000000E+00;17,6304
55;22; 1/02/1970;20:06:43;5,5556;14,5311;   0.000000E+00;17,7782
56;22,4; 1/02/1970;20:06:43;5,5556;14,646;   0.000000E+00;17,4936
57;22,8; 1/02/1970;20:06:43;5,5556;14,5968;   0.000000E+00;17,1905
58;23,2; 1/02/1970;20:06:44;5,5556;14,5722;   0.000000E+00;17,3476
59;23,6; 1/02/1970;20:06:44;5,5556;14,6542;   0.000000E+00;17,464
60;24; 1/02/1970;20:06:45;5,5556;14,6378;   0.000000E+00;17,6156
61;24,4; 1/02/1970;20:06:45;5,5556;14,5968;   0.000000E+00;17,4141
62;24,8; 1/02/1970;20:06:45;5,5556;14,7281;   0.000000E+00;17,1591
63;25,2; 1/02/1970;20:06:46;5,5556;14,6706;   0.000000E+00;17,4086
64;25,6; 1/02/1970;20:06:46;5,5556;14,6624;   0.000000E+00;17,4843
65;26; 1/02/1970;20:06:47;5,5556;14,6952;   0.000000E+00;17,0777
66;26,4; 1/02/1970;20:06:47;5,5556;14,6542;   0.000000E+00;16,9761
67;26,8; 1/02/1970;20:06:47;5,5556;14,6624;   0.000000E+00;16,9613
68;27,2; 1/02/1970;20:06:48;5,5556;14,7363;   0.000000E+00;17,1591
69;27,6; 1/02/1970;20:06:48;5,5556;14,7281;   0.000000E+00;16,9742
70;28; 1/02/1970;20:06:49;5,5556;14,6542;   0.000000E+00;16,721
71;28,4; 1/02/1970;20:06:49;5,5556;14,7198;   0.000000E+00;16,6194
72;28,8; 1/02/1970;20:06:49;5,5556;14,7034;   0.000000E+00;16,9151
73;29,2; 1/02/1970;20:06:50;5,5556;14,687;   0.000000E+00;17,0519
74;29,6; 1/02/1970;20:06:50;5,5556;14,8429;   0.000000E+00;17,196
75;30; 1/02/1970;20:06:51;5,5556;14,7281;   0.000000E+00;17,3845
76;30,4; 1/02/1970;20:06:51;5,5556;14,6952;   0.000000E+00;17,3014
77;30,8; 1/02/1970;20:06:51;5,5556;14,8265;   0.000000E+00;17,1369
78;31,2; 1/02/1970;20:06:52;5,5556;14,7116;   0.000000E+00;16,9595
79;31,6; 1/02/1970;20:06:52;5,5556;14,687;   0.000000E+00;17,002
80;32; 1/02/1970;20:06:53;5,5556;14,8347;   0.000000E+00;17,0593
81;32,4; 1/02/1970;20:06:53;5,5556;14,6706;   0.000000E+00;16,9687
82;32,8; 1/02/1970;20:06:53;5,5556;14,7691;   0.000000E+00;16,7173
83;33,2; 1/02/1970;20:06:54;5,5556;14,8183;   0.000000E+00;17,0223
84;33,6; 1/02/1970;20:06:54;5,5556;14,7281;   0.000000E+00;17,1831
85;34; 1/02/1970;20:06:55;5,5556;14,8265;   0.000000E+00;16,8726
86;34,4; 1/02/1970;20:06:55;5,5556;14,8675;   0.000000E+00;16,8097
87;34,8; 1/02/1970;20:06:55;5,5556;14,7773;   0.000000E+00;17,0944
88;35,2; 1/02/1970;20:06:56;5,5556;14,8101;   0.000000E+00;17,3402
89;35,6; 1/02/1970;20:06:56;5,5556;14,925;   0.000000E+00;17,2847
90;36; 1/02/1970;20:06:57;5,5556;14,7198;   0.000000E+00;17,1147
91;36,4; 1/02/1970;20:06:57;5,5556;14,8347;   0.000000E+00;17,1775
92;36,8; 1/02/1970;20:06:57;5,5556;14,9332;   0.000000E+00;17,2829
93;37,2; 1/02/1970;20:06:58;5,5556;14,8429;   0.000000E+00;17,1147
94;37,6; 1/02/1970;20:06:58;5,5556;14,8429;   0.000000E+00;17,5989
95;38; 1/02/1970;20:06:59;5,5556;14,8757;   0.000000E+00;17,4123
96;38,4; 1/02/1970;20:06:59;5,5556;14,8347;   0.000000E+00;17,2367
97;38,8; 1/02/1970;20:06:59;5,5556;14,9004;   0.000000E+00;17,1424
98;39,2; 1/02/1970;20:07:00;5,5556;15,0152;   0.000000E+00;17,4012
99;39,6; 1/02/1970;20:07:00;5,5556;14,8347;   0.000000E+00;17,2016
100;40; 1/02/1970;20:07:01;5,5556;14,8593;   0.000000E+00;16,8134
101;40,4; 1/02/1970;20:07:01;5,5556;14,966;   0.000000E+00;16,7802
102;40,8; 1/02/1970;20:07:01;5,5556;14,8675;   0.000000E+00;16,9059
103;41,2; 1/02/1970;20:07:02;5,5556;14,9168;   0.000000E+00;16,6915
104;41,6; 1/02/1970;20:07:02;5,5556;14,9496;   0.000000E+00;16,6545
105;42; 1/02/1970;20:07:03;5,5556;14,8757;   0.000000E+00;16,5418
106;42,4; 1/02/1970;20:07:03;5,5556;14,9496;   0.000000E+00;16,7635
107;42,8; 1/02/1970;20:07:03;5,5556;14,966;   0.000000E+00;17,1332
108;43,2; 1/02/1970;20:07:04;5,5556;14,8593;   0.000000E+00;17,5768
109;43,6; 1/02/1970;20:07:04;5,5556;14,966;   0.000000E+00;17,6063
110;44; 1/02/1970;20:07:05;5,5556;15,007;   0.000000E+00;17,5324
111;44,4; 1/02/1970;20:07:05;5,5556;14,9578;   0.000000E+00;17,1184
112;44,8; 1/02/1970;20:07:05;5,5556;14,9906;   0.000000E+00;17,1129
113;45,2; 1/02/1970;20:07:06;5,5556;14,9332;   0.000000E+00;17,1461
114;45,6; 1/02/1970;20:07:06;5,5556;14,925;   0.000000E+00;16,965
115;46; 1/02/1970;20:07:07;5,5556;14,9988;   0.000000E+00;16,8301
116;46,4; 1/02/1970;20:07:07;5,5556;15,0398;   0.000000E+00;16,6785
117;46,8; 1/02/1970;20:07:07;5,5556;14,9742;   0.000000E+00;17,1535
118;47,2; 1/02/1970;20:07:08;5,5556;15,0563;   0.000000E+00;17,257
119;47,6; 1/02/1970;20:07:08;5,5556;14,9906;   0.000000E+00;17,0999
120;48; 1/02/1970;20:07:09;5,5556;14,9988;   0.000000E+00;16,9853
121;48,4; 1/02/1970;20:07:09;5,5556;15,0891;   0.000000E+00;17,0315
122;48,8; 1/02/1970;20:07:09;5,5556;15,0481;   0.000000E+00;17,0722
123;49,2; 1/02/1970;20:07:10;5,5556;15,0316;   0.000000E+00;17,1332
124;49,6; 1/02/1970;20:07:10;5,5556;15,0481;   0.000000E+00;17,3106
125;50; 1/02/1970;20:07:11;5,5556;15,0481;   0.000000E+00;16,9853
126;50,4; 1/02/1970;20:07:11;5,5556;15,0727;   0.000000E+00;17,0537
127;50,8; 1/02/1970;20:07:11;5,5556;15,0973;   0.000000E+00;17,2237
128;51,2; 1/02/1970;20:07:12;5,5556;15,0481;   0.000000E+00;16,8818
129;51,6; 1/02/1970;20:07:12;5,5556;15,0398;   0.000000E+00;16,7913
130;52; 1/02/1970;20:07:13;5,5556;15,1547;   0.000000E+00;16,673
131;52,4; 1/02/1970;20:07:13;5,5556;15,0809;   0.000000E+00;16,8541
132;52,8; 1/02/1970;20:07:13;5,5556;15,0645;   0.000000E+00;16,7561
133;53,2; 1/02/1970;20:07:14;5,5556;15,1465;   0.000000E+00;16,7173
134;53,6; 1/02/1970;20:07:14;5,5556;15,0563;   0.000000E+00;16,7525
135;54; 1/02/1970;20:07:15;5,5556;15,0891;   0.000000E+00;16,795
136;54,4; 1/02/1970;20:07:15;5,5556;15,1711;   0.000000E+00;16,9742
137;54,8; 1/02/1970;20:07:15;5,5556;15,1137;   0.000000E+00;17,1313
138;55,2; 1/02/1970;20:07:16;5,5556;15,0645;   0.000000E+00;17,2293
139;55,6; 1/02/1970;20:07:16;5,5556;15,1629;   0.000000E+00;17,1036
140;56; 1/02/1970;20:07:17;5,5556;15,0891;   0.000000E+00;17,0851
141;56,4; 1/02/1970;20:07:17;5,5556;15,1301;   0.000000E+00;17,2792
142;56,8; 1/02/1970;20:07:17;5,5556;15,1219;   0.000000E+00;17,1258
143;57,2; 1/02/1970;20:07:18;5,5556;15,1055;   0.000000E+00;17,1258
144;57,6; 1/02/1970;20:07:18;5,5556;15,1547;   0.000000E+00;16,9299
145;58; 1/02/1970;20:07:19;5,5556;15,2286;   0.000000E+00;17,0685
146;58,4; 1/02/1970;20:07:19;5,5556;15,1629;   0.000000E+00;16,9668
147;58,8; 1/02/1970;20:07:19;5,5556;15,1793;   0.000000E+00;17,1886
148;59,2; 1/02/1970;20:07:20;5,5556;15,1875;   0.000000E+00;17,0796
149;59,6; 1/02/1970;20:07:20;5,5556;15,1383;   0.000000E+00;17,1628
150;60; 1/02/1970;20:07:21;5,5556;15,1793;   0.000000E+00;17,2422
151;60,4; 1/02/1970;20:07:21;5,5556;15,245;   0.000000E+00;17,1905
152;60,8; 1/02/1970;20:07:21;5,5556;15,1875;   0.000000E+00;17,209
