Record;Tiempo;Date;UTC Time;Frecuencia;Presion;caudal1;caudal2
1;0,4; 1/02/1970;19:41:05;5;14,4901;   0.000000E+00;14,8876
2;0,8; 1/02/1970;19:41:06;5;14,5475;   0.000000E+00;16,5399
3;1,2; 1/02/1970;19:41:06;5;14,6132;   0.000000E+00;18,5877
4;1,6; 1/02/1970;19:41:07;5;14,5065;   0.000000E+00;18,0462
5;2; 1/02/1970;19:41:07;5;14,5475;   0.000000E+00;14,6917
6;2,4; 1/02/1970;19:41:07;5;14,5968;   0.000000E+00;13,8267
7;2,8; 1/02/1970;19:41:08;5;14,5147;   0.000000E+00;14,8599
8;3,2; 1/02/1970;19:41:08;5;14,5229;   0.000000E+00;16,2091
9;3,6; 1/02/1970;19:41:09;5;14,5886;   0.000000E+00;17,4104
10;4; 1/02/1970;19:41:09;5;14,5147;   0.000000E+00;17,7246
11;4,4; 1/02/1970;19:41:09;5;14,5886;   0.000000E+00;17,83
12;4,8; 1/02/1970;19:41:10;5;14,6296;   0.000000E+00;17,7135
13;5,2; 1/02/1970;19:41:10;5;14,6542;   0.000000E+00;17,477
14;5,6; 1/02/1970;19:41:11;5;14,4737;   0.000000E+00;16,989
15;6; 1/02/1970;19:41:11;5;14,6214;   0.000000E+00;17,0962
16;6,4; 1/02/1970;19:41:11;5;14,564;   0.000000E+00;17,0315
17;6,8; 1/02/1970;19:41:12;5;14,6706;   0.000000E+00;17,2274
18;7,2; 1/02/1970;19:41:12;5;14,7116;   0.000000E+00;17,2164
19;7,6; 1/02/1970;19:41:13;5;14,6706;   0.000000E+00;17,5601
20;8; 1/02/1970;19:41:13;5;14,6706;   0.000000E+00;17,6322
21;8,4; 1/02/1970;19:41:13;5;14,7116;   0.000000E+00;17,5971
22;8,8; 1/02/1970;19:41:14;5;14,6952;   0.000000E+00;17,5121
23;9,2; 1/02/1970;19:41:14;5;14,7691;   0.000000E+00;17,0666
24;9,6; 1/02/1970;19:41:15;5;14,8183;   0.000000E+00;16,9132
25;10; 1/02/1970;19:41:15;5;14,7363;   0.000000E+00;16,5436
26;10,4; 1/02/1970;19:41:15;5;14,7691;   0.000000E+00;16,5676
27;10,8; 1/02/1970;19:41:16;5;14,7937;   0.000000E+00;16,8726
28;11,2; 1/02/1970;19:41:16;5;14,8429;   0.000000E+00;16,6748
29;11,6; 1/02/1970;19:41:17;5;14,7937;   0.000000E+00;16,8874
30;12; 1/02/1970;19:41:17;5;14,8429;   0.000000E+00;16,989
31;12,4; 1/02/1970;19:41:17;5;14,8511;   0.000000E+00;16,8504
32;12,8; 1/02/1970;19:41:18;5;14,7691;   0.000000E+00;16,6194
33;13,2; 1/02/1970;19:41:18;5;14,8675;   0.000000E+00;16,6249
34;13,6; 1/02/1970;19:41:19;5;14,8922;   0.000000E+00;16,5122
35;14; 1/02/1970;19:41:19;5;14,9086;   0.000000E+00;16,3883
36;14,4; 1/02/1970;19:41:19;5;14,9168;   0.000000E+00;16,4808
37;14,8; 1/02/1970;19:41:20;5;14,9004;   0.000000E+00;16,8042
38;15,2; 1/02/1970;19:41:20;5;14,9824;   0.000000E+00;16,9059
39;15,6; 1/02/1970;19:41:21;5;15,0398;   0.000000E+00;17,0593
40;16; 1/02/1970;19:41:21;5;15,0727;   0.000000E+00;17,2903
41;16,4; 1/02/1970;19:41:21;5;15,0152;   0.000000E+00;17,135
42;16,8; 1/02/1970;19:41:22;5;15,0891;   0.000000E+00;16,8874
43;17,2; 1/02/1970;19:41:22;5;15,1137;   0.000000E+00;16,8781
44;17,6; 1/02/1970;19:41:23;5;15,0727;   0.000000E+00;16,8633
45;18; 1/02/1970;19:41:23;5;15,0809;   0.000000E+00;16,8578
46;18,4; 1/02/1970;19:41:23;5;15,1219;   0.000000E+00;16,8079
47;18,8; 1/02/1970;19:41:24;5;15,0645;   0.000000E+00;16,9373
48;19,2; 1/02/1970;19:41:24;5;15,0973;   0.000000E+00;16,9595
49;19,6; 1/02/1970;19:41:25;5;15,1055;   0.000000E+00;16,9761
50;20; 1/02/1970;19:41:25;5;15,0973;   0.000000E+00;16,7081
51;20,4; 1/02/1970;19:41:25;5;15,1547;   0.000000E+00;17,0149
52;20,8; 1/02/1970;19:41:26;5;15,2122;   0.000000E+00;17,0075
53;21,2; 1/02/1970;19:41:26;5;15,1219;   0.000000E+00;17,2164
54;21,6; 1/02/1970;19:41:27;5;15,1793;   0.000000E+00;17,2626
55;22; 1/02/1970;19:41:27;5;15,2614;   0.000000E+00;17,0204
56;22,4; 1/02/1970;19:41:27;5;15,245;   0.000000E+00;17,002
57;22,8; 1/02/1970;19:41:28;5;15,245;   0.000000E+00;17,1831
58;23,2; 1/02/1970;19:41:28;5;15,2942;   0.000000E+00;16,8874
59;23,6; 1/02/1970;19:41:29;5;15,245;   0.000000E+00;16,7192
60;24; 1/02/1970;19:41:29;5;15,286;   0.000000E+00;16,8504
61;24,4; 1/02/1970;19:41:29;5;15,368;   0.000000E+00;16,8319
62;24,8; 1/02/1970;19:41:30;5;15,2614;   0.000000E+00;16,6711
63;25,2; 1/02/1970;19:41:30;5;15,3106;   0.000000E+00;16,6711
64;25,6; 1/02/1970;19:41:31;5;15,3516;   0.000000E+00;16,6933
65;26; 1/02/1970;19:41:31;5;15,2778;   0.000000E+00;17,0574
66;26,4; 1/02/1970;19:41:31;5;15,3763;   0.000000E+00;16,989
67;26,8; 1/02/1970;19:41:32;5;15,4091;   0.000000E+00;16,8467
68;27,2; 1/02/1970;19:41:32;5;15,3516;   0.000000E+00;16,8264
69;27,6; 1/02/1970;19:41:33;5;15,3927;   0.000000E+00;16,8541
70;28; 1/02/1970;19:41:33;5;15,4091;   0.000000E+00;16,941
71;28,4; 1/02/1970;19:41:33;5;15,3927;   0.000000E+00;16,9835
72;28,8; 1/02/1970;19:41:34;5;15,4255;   0.000000E+00;17,0223
73;29,2; 1/02/1970;19:41:34;5;15,4911;   0.000000E+00;16,8449
74;29,6; 1/02/1970;19:41:35;5;15,4501;   0.000000E+00;16,8486
75;30; 1/02/1970;19:41:35;5;15,4829;   0.000000E+00;16,9299
76;30,4; 1/02/1970;19:41:35;5;15,5157;   0.000000E+00;17,0574
77;30,8; 1/02/1970;19:41:36;5;15,4993;   0.000000E+00;17,1905
78;31,2; 1/02/1970;19:41:36;5;15,5404;   0.000000E+00;17,1184
79;31,6; 1/02/1970;19:41:37;5;15,6306;   0.000000E+00;17,1276
80;32; 1/02/1970;19:41:37;5;15,6388;   0.000000E+00;17,1591
81;32,4; 1/02/1970;19:41:37;5;15,5732;   0.000000E+00;17,0666
82;32,8; 1/02/1970;19:41:38;5;15,6306;   0.000000E+00;16,8948
83;33,2; 1/02/1970;19:41:38;5;15,647;   0.000000E+00;16,8264
84;33,6; 1/02/1970;19:41:39;5;15,5896;   0.000000E+00;16,8356
85;34; 1/02/1970;19:41:39;5;15,6716;   0.000000E+00;16,9151
86;34,4; 1/02/1970;19:41:39;5;15,7291;   0.000000E+00;16,9521
87;34,8; 1/02/1970;19:41:40;5;15,6716;   0.000000E+00;17,1498
88;35,2; 1/02/1970;19:41:40;5;15,7127;   0.000000E+00;16,9465
89;35,6; 1/02/1970;19:41:41;5;15,7619;   0.000000E+00;16,6342
90;36; 1/02/1970;19:41:41;5;15,6798;   0.000000E+00;16,6988
91;36,4; 1/02/1970;19:41:41;5;15,7045;   0.000000E+00;16,7488
92;36,8; 1/02/1970;19:41:42;5;15,7701;   0.000000E+00;16,9927
93;37,2; 1/02/1970;19:41:42;5;15,7127;   0.000000E+00;17,0241
94;37,6; 1/02/1970;19:41:43;5;15,7865;   0.000000E+00;16,8116
95;38; 1/02/1970;19:41:43;5;15,8357;   0.000000E+00;16,9003
96;38,4; 1/02/1970;19:41:43;5;15,7537;   0.000000E+00;16,8356
97;38,8; 1/02/1970;19:41:44;5;15,7291;   0.000000E+00;17,1646
98;39,2; 1/02/1970;19:41:44;5;15,8932;   0.000000E+00;16,9964
99;39,6; 1/02/1970;19:41:45;5;15,7947;   0.000000E+00;16,8227
100;40; 1/02/1970;19:41:45;5;15,9096;   0.000000E+00;17,0131
101;40,4; 1/02/1970;19:41:45;5;15,9424;   0.000000E+00;16,9946
102;40,8; 1/02/1970;19:41:46;5;15,9342;   0.000000E+00;17,05
103;41,2; 1/02/1970;19:41:46;5;16,0409;   0.000000E+00;16,9983
104;41,6; 1/02/1970;19:41:47;5;16,0655;   0.000000E+00;17,0796
105;42; 1/02/1970;19:41:47;5;15,9424;   0.000000E+00;17,1092
106;42,4; 1/02/1970;19:41:47;5;15,9916;   0.000000E+00;17,0685
107;42,8; 1/02/1970;19:41:48;5;16,0737;   0.000000E+00;17,0999
108;43,2; 1/02/1970;19:41:48;5;15,9588;   0.000000E+00;16,9095
109;43,6; 1/02/1970;19:41:49;5;16,0162;   0.000000E+00;16,8504
110;44; 1/02/1970;19:41:49;5;16,0491;   0.000000E+00;17,063
111;44,4; 1/02/1970;19:41:49;5;15,9752;   0.000000E+00;17,2792
112;44,8; 1/02/1970;19:41:50;5;16,0573;   0.000000E+00;17,135
113;45,2; 1/02/1970;19:41:50;5;16,0245;   0.000000E+00;17,135
114;45,6; 1/02/1970;19:41:51;5;15,9588;   0.000000E+00;16,9964
115;46; 1/02/1970;19:41:51;5;16,0327;   0.000000E+00;16,7746
116;46,4; 1/02/1970;19:41:51;5;16,008;   0.000000E+00;16,8504
117;46,8; 1/02/1970;19:41:52;5;16,0573;   0.000000E+00;16,9946
118;47,2; 1/02/1970;19:41:52;5;16,0491;   0.000000E+00;17,0685
119;47,6; 1/02/1970;19:41:53;5;16,0737;   0.000000E+00;17,0722
120;48; 1/02/1970;19:41:53;5;16,1475;   0.000000E+00;17,0888
121;48,4; 1/02/1970;19:41:53;5;16,0737;   0.000000E+00;17,0075
122;48,8; 1/02/1970;19:41:54;5;16,2132;   0.000000E+00;17,1923
123;49,2; 1/02/1970;19:41:54;5;16,1968;   0.000000E+00;17,063
124;49,6; 1/02/1970;19:41:55;5;16,205;   0.000000E+00;16,9668
125;50; 1/02/1970;19:41:55;5;16,3444;   0.000000E+00;17,0352
126;50,4; 1/02/1970;19:41:55;5;16,2378;   0.000000E+00;17,1129
127;50,8; 1/02/1970;19:41:56;5;16,246;   0.000000E+00;17,0297
128;51,2; 1/02/1970;19:41:56;5;16,2788;   0.000000E+00;16,795
129;51,6; 1/02/1970;19:41:57;5;16,246;   0.000000E+00;16,941
130;52; 1/02/1970;19:41:57;5;16,1968;   0.000000E+00;17,1313
131;52,4; 1/02/1970;19:41:57;5;16,2378;   0.000000E+00;17,0777
132;52,8; 1/02/1970;19:41:58;5;16,328;   0.000000E+00;17,1129
133;53,2; 1/02/1970;19:41:58;5;16,205;   0.000000E+00;17,1147
134;53,6; 1/02/1970;19:41:59;5;16,2788;   0.000000E+00;17,172
135;54; 1/02/1970;19:41:59;5;16,3444;   0.000000E+00;17,1369
136;54,4; 1/02/1970;19:41:59;5;16,2624;   0.000000E+00;17,026
137;54,8; 1/02/1970;19:42:00;5;16,3198;   0.000000E+00;16,9003
138;55,2; 1/02/1970;19:42:00;5;16,3609;   0.000000E+00;17,0981
139;55,6; 1/02/1970;19:42:01;5;16,2788;   0.000000E+00;17,1979
140;56; 1/02/1970;19:42:01;5;16,3444;   0.000000E+00;16,8763
141;56,4; 1/02/1970;19:42:01;5;16,4183;   0.000000E+00;17,1923
142;56,8; 1/02/1970;19:42:02;5;16,3034;   0.000000E+00;17,2755
143;57,2; 1/02/1970;19:42:02;5;16,3855;   0.000000E+00;17,1812
144;57,6; 1/02/1970;19:42:03;5;16,4019;   0.000000E+00;17,209
145;58; 1/02/1970;19:42:03;5;16,3198;   0.000000E+00;17,1683
146;58,4; 1/02/1970;19:42:03;5;16,4347;   0.000000E+00;16,8541
147;58,8; 1/02/1970;19:42:04;5;16,4101;   0.000000E+00;17,1517
148;59,2; 1/02/1970;19:42:04;5;16,3691;   0.000000E+00;17,2884
149;59,6; 1/02/1970;19:42:05;5;16,3937;   0.000000E+00;17,3014
150;60; 1/02/1970;19:42:05;5;16,4757;   0.000000E+00;16,9576
151;60,4; 1/02/1970;19:42:05;5;16,4101;   0.000000E+00;16,7395
152;60,8; 1/02/1970;19:42:06;5;16,4265;   0.000000E+00;16,7765
153;61,2; 1/02/1970;19:42:06;5;16,4839;   0.000000E+00;16,7987
154;61,6; 1/02/1970;19:42:07;5;16,525;   0.000000E+00;16,7173
155;62; 1/02/1970;19:42:07;5;16,5003;   0.000000E+00;16,6157
156;62,4; 1/02/1970;19:42:07;5;16,566;   0.000000E+00;16,8449
157;62,8; 1/02/1970;19:42:08;5;16,5085;   0.000000E+00;16,8282
158;63,2; 1/02/1970;19:42:08;5;16,525;   0.000000E+00;16,6933
159;63,6; 1/02/1970;19:42:09;5;16,5988;   0.000000E+00;16,7913
160;64; 1/02/1970;19:42:09;5;16,5496;   0.000000E+00;16,8375
161;64,4; 1/02/1970;19:42:09;5;16,566;   0.000000E+00;17,0722
162;64,8; 1/02/1970;19:42:10;5;16,5906;   0.000000E+00;16,965
163;65,2; 1/02/1970;19:42:10;5;16,566;   0.000000E+00;16,7746
164;65,6; 1/02/1970;19:42:11;5;16,5906;   0.000000E+00;16,8264
165;66; 1/02/1970;19:42:11;5;16,5906;   0.000000E+00;16,8208
166;66,4; 1/02/1970;19:42:11;5;16,6234;   0.000000E+00;16,6878
167;66,8; 1/02/1970;19:42:12;5;16,607;   0.000000E+00;17,0519
168;67,2; 1/02/1970;19:42:12;5;16,6316;   0.000000E+00;17,2367
169;67,6; 1/02/1970;19:42:13;5;16,6644;   0.000000E+00;17,2237
170;68; 1/02/1970;19:42:13;5;16,6234;   0.000000E+00;17,172
171;68,4; 1/02/1970;19:42:13;5;16,6562;   0.000000E+00;17,1646
172;68,8; 1/02/1970;19:42:14;5;16,6809;   0.000000E+00;16,9132
173;69,2; 1/02/1970;19:42:14;5;16,6152;   0.000000E+00;17,1369
174;69,6; 1/02/1970;19:42:15;5;16,6809;   0.000000E+00;17,4733
175;70; 1/02/1970;19:42:15;5;16,7137;   0.000000E+00;17,2755
176;70,4; 1/02/1970;19:42:15;5;16,6316;   0.000000E+00;17,3254
177;70,8; 1/02/1970;19:42:16;5;16,6891;   0.000000E+00;17,0131
178;71,2; 1/02/1970;19:42:16;5;16,7629;   0.000000E+00;17,063
179;71,6; 1/02/1970;19:42:17;5;16,648;   0.000000E+00;16,9243
180;72; 1/02/1970;19:42:17;5;16,6891;   0.000000E+00;16,8171
181;72,4; 1/02/1970;19:42:17;5;16,7629;   0.000000E+00;16,9373
182;72,8; 1/02/1970;19:42:18;5;16,6644;   0.000000E+00;16,8652
183;73,2; 1/02/1970;19:42:18;5;16,7547;   0.000000E+00;17,0057
184;73,6; 1/02/1970;19:42:19;5;16,8121;   0.000000E+00;17,0334
185;74; 1/02/1970;19:42:19;5;16,7383;   0.000000E+00;17,2644
186;74,4; 1/02/1970;19:42:19;5;16,7793;   0.000000E+00;17,4178
187;74,8; 1/02/1970;19:42:20;5;16,8203;   0.000000E+00;17,0796
188;75,2; 1/02/1970;19:42:20;5;16,8039;   0.000000E+00;16,9946
189;75,6; 1/02/1970;19:42:21;5;16,845;   0.000000E+00;16,819
190;76; 1/02/1970;19:42:21;5;16,8778;   0.000000E+00;16,989
191;76,4; 1/02/1970;19:42:21;5;16,8039;   0.000000E+00;17,0962
192;76,8; 1/02/1970;19:42:22;5;16,9106;   0.000000E+00;17,0223
