Record;Tiempo;Date;UTC Time;Frecuencia;Presion;caudal1;caudal2
1;0,4;01/04/1970;5:39:31;3,5;14,8;0,0;15,9
2;0,8;01/04/1970;5:39:31;3,5;14,8;0,0;17,4
3;1,2;01/04/1970;5:39:32;3,5;14,8;0,0;19,0
4;1,6;01/04/1970;5:39:32;3,5;14,8;0,0;18,7
5;2;01/04/1970;5:39:33;3,5;14,8;0,0;19,2
6;2,4;01/04/1970;5:39:33;3,5;14,8;0,0;17,6
7;2,8;01/04/1970;5:39:33;3,5;14,9;0,0;18,4
8;3,2;01/04/1970;5:39:34;3,5;14,9;0,0;17,6
9;3,6;01/04/1970;5:39:34;3,5;15,2;0,0;18,0
10;4;01/04/1970;5:39:35;3,5;14,9;0,0;17,7
11;4,4;01/04/1970;5:39:35;3,5;14,9;0,0;17,4
12;4,8;01/04/1970;5:39:35;3,5;14,9;0,0;18,1
13;5,2;01/04/1970;5:39:36;3,5;15,0;0,0;17,5
14;5,6;01/04/1970;5:39:36;3,5;15,3;0,0;18,1
15;6;01/04/1970;5:39:37;3,5;14,9;0,0;18,2
16;6,4;01/04/1970;5:39:37;3,5;15,0;0,0;17,7
17;6,8;01/04/1970;5:39:37;3,5;14,9;0,0;18,4
18;7,2;01/04/1970;5:39:38;3,5;15,0;0,0;17,9
19;7,6;01/04/1970;5:39:38;3,5;14,9;0,0;18,2
20;8;01/04/1970;5:39:39;3,5;15,0;0,0;18,0
21;8,4;01/04/1970;5:39:39;3,5;15,0;0,0;17,6
22;8,8;01/04/1970;5:39:39;3,5;15,0;0,0;18,1
23;9,2;01/04/1970;5:39:40;3,5;15,1;0,0;17,9
24;9,6;01/04/1970;5:39:40;3,5;15,1;0,0;18,3
25;10;01/04/1970;5:39:41;3,5;15,1;0,0;18,1
26;10,4;01/04/1970;5:39:41;3,5;15,1;0,0;17,8
27;10,8;01/04/1970;5:39:41;3,5;15,1;0,0;18,5
28;11,2;01/04/1970;5:39:42;3,5;15,1;0,0;17,8
29;11,6;01/04/1970;5:39:42;3,5;15,4;0,0;18,3
30;12;01/04/1970;5:39:43;3,5;15,1;0,0;18,1
31;12,4;01/04/1970;5:39:43;3,5;15,1;0,0;17,8
32;12,8;01/04/1970;5:39:43;3,5;15,1;0,0;18,3
33;13,2;01/04/1970;5:39:44;3,5;15,2;0,0;17,9
34;13,6;01/04/1970;5:39:44;3,5;15,2;0,0;18,3
35;14;01/04/1970;5:39:45;3,5;15,2;0,0;18,4
36;14,4;01/04/1970;5:39:45;3,5;15,2;0,0;18,2
37;14,8;01/04/1970;5:39:45;3,5;15,2;0,0;18,7
38;15,2;01/04/1970;5:39:46;3,5;15,2;0,0;18,2
39;15,6;01/04/1970;5:39:46;3,5;15,2;0,0;18,6
40;16;01/04/1970;5:39:47;3,5;15,2;0,0;18,7
41;16,4;01/04/1970;5:39:47;3,5;15,3;0,0;18,3
42;16,8;01/04/1970;5:39:47;3,5;15,3;0,0;18,7
43;17,2;01/04/1970;5:39:48;3,5;15,2;0,0;18,0
44;17,6;01/04/1970;5:39:48;3,5;15,3;0,0;18,4
45;18;01/04/1970;5:39:49;3,5;15,3;0,0;18,1
46;18,4;01/04/1970;5:39:49;3,5;15,3;0,0;18,0
47;18,8;01/04/1970;5:39:49;3,5;15,3;0,0;18,3
48;19,2;01/04/1970;5:39:50;3,5;15,3;0,0;17,9
49;19,6;01/04/1970;5:39:50;3,5;15,3;0,0;18,4
50;20;01/04/1970;5:39:51;3,5;15,3;0,0;18,4
51;20,4;01/04/1970;5:39:51;3,5;15,4;0,0;18,0
52;20,8;01/04/1970;5:39:51;3,5;15,4;0,0;18,5
53;21,2;01/04/1970;5:39:52;3,5;15,3;0,0;18,1
54;21,6;01/04/1970;5:39:52;3,5;15,4;0,0;18,5
55;22;01/04/1970;5:39:53;3,5;15,4;0,0;18,5
56;22,4;01/04/1970;5:39:53;3,5;15,4;0,0;18,1
57;22,8;01/04/1970;5:39:53;3,5;15,5;0,0;18,6
58;23,2;01/04/1970;5:39:54;3,5;15,4;0,0;18,2
59;23,6;01/04/1970;5:39:54;3,5;15,3;0,0;18,8
60;24;01/04/1970;5:39:55;3,5;15,4;0,0;18,8
61;24,4;01/04/1970;5:39:55;3,5;15,4;0,0;18,3
62;24,8;01/04/1970;5:39:55;3,5;15,4;0,0;18,7
63;25,2;01/04/1970;5:39:56;3,5;15,5;0,0;18,0
64;25,6;01/04/1970;5:39:56;3,5;15,5;0,0;18,6
65;26;01/04/1970;5:39:57;3,5;15,5;0,0;18,1
66;26,4;01/04/1970;5:39:57;3,5;15,5;0,0;17,9
67;26,8;01/04/1970;5:39:57;3,5;15,5;0,0;18,6
68;27,2;01/04/1970;5:39:58;3,5;15,5;0,0;17,9
69;27,6;01/04/1970;5:39:58;3,5;15,5;0,0;18,5
70;28;01/04/1970;5:39:59;3,5;15,5;0,0;17,9
71;28,4;01/04/1970;5:39:59;3,5;15,6;0,0;17,9
72;28,8;01/04/1970;5:39:59;3,5;15,5;0,0;18,5
73;29,2;01/04/1970;5:40:00;3,5;15,5;0,0;17,2
74;29,6;01/04/1970;5:40:00;3,5;15,5;0,0;17,4
75;30;01/04/1970;5:40:01;3,5;15,5;0,0;17,3
76;30,4;01/04/1970;5:40:01;3,5;15,6;0,0;17,0
77;30,8;01/04/1970;5:40:01;3,5;15,6;0,0;17,8
78;31,2;01/04/1970;5:40:02;3,5;15,5;0,0;17,2
79;31,6;01/04/1970;5:40:02;3,5;15,5;0,0;17,8
80;32;01/04/1970;5:40:03;3,5;15,6;0,0;17,5
81;32,4;01/04/1970;5:40:03;3,5;15,6;0,0;17,1
82;32,8;01/04/1970;5:40:03;3,5;15,6;0,0;17,4
83;33,2;01/04/1970;5:40:04;3,5;15,7;0,0;17,3
84;33,6;01/04/1970;5:40:04;3,5;15,5;0,0;18,1
85;34;01/04/1970;5:40:05;3,5;15,6;0,0;17,7
86;34,4;01/04/1970;5:40:05;3,5;15,7;0,0;17,7
87;34,8;01/04/1970;5:40:05;3,5;15,7;0,0;18,1
88;35,2;01/04/1970;5:40:06;3,5;15,7;0,0;17,6
89;35,6;01/04/1970;5:40:06;3,5;15,5;0,0;18,2
90;36;01/04/1970;5:40:07;3,5;15,7;0,0;18,1
91;36,4;01/04/1970;5:40:07;3,5;15,7;0,0;17,8
92;36,8;01/04/1970;5:40:07;3,5;15,7;0,0;18,3
93;37,2;01/04/1970;5:40:08;3,5;15,8;0,0;17,8
94;37,6;01/04/1970;5:40:08;3,5;15,7;0,0;18,7
95;38;01/04/1970;5:40:09;3,5;15,7;0,0;18,4
96;38,4;01/04/1970;5:40:09;3,5;15,8;0,0;18,4
97;38,8;01/04/1970;5:40:09;3,5;15,7;0,0;18,5
98;39,2;01/04/1970;5:40:10;3,5;15,7;0,0;18,2
99;39,6;01/04/1970;5:40:10;3,5;15,8;0,0;19,0
100;40;01/04/1970;5:40:11;3,5;15,7;0,0;18,7
