Record;Tiempo;Date;UTC Time;Frecuencia;Presion;caudal1;caudal2
1;0,4;01/04/1970;5:16:53;3,0;14,9;0,0;15,0
2;0,8;01/04/1970;5:16:53;3,0;14,9;0,0;15,7
3;1,2;01/04/1970;5:16:53;3,0;14,8;0,0;16,5
4;1,6;01/04/1970;5:16:54;3,0;14,9;0,0;18,9
5;2;01/04/1970;5:16:54;3,0;14,9;0,0;19,9
6;2,4;01/04/1970;5:16:55;3,0;14,9;0,0;18,8
7;2,8;01/04/1970;5:16:55;3,0;14,9;0,0;18,1
8;3,2;01/04/1970;5:16:55;3,0;14,9;0,0;18,4
9;3,6;01/04/1970;5:16:56;3,0;14,9;0,0;18,3
10;4;01/04/1970;5:16:56;3,0;14,9;0,0;17,6
11;4,4;01/04/1970;5:16:57;3,0;15,0;0,0;17,5
12;4,8;01/04/1970;5:16:57;3,0;15,0;0,0;17,5
13;5,2;01/04/1970;5:16:57;3,0;14,9;0,0;17,7
14;5,6;01/04/1970;5:16:58;3,0;14,9;0,0;18,2
15;6;01/04/1970;5:16:58;3,0;15,0;0,0;18,1
16;6,4;01/04/1970;5:16:59;3,0;15,0;0,0;18,1
17;6,8;01/04/1970;5:16:59;3,0;15,1;0,0;18,0
18;7,2;01/04/1970;5:16:59;3,0;15,1;0,0;18,2
19;7,6;01/04/1970;5:17:00;3,0;14,9;0,0;18,5
20;8;01/04/1970;5:17:00;3,0;15,1;0,0;18,4
21;8,4;01/04/1970;5:17:01;3,0;15,1;0,0;17,8
22;8,8;01/04/1970;5:17:01;3,0;15,1;0,0;17,9
23;9,2;01/04/1970;5:17:01;3,0;15,1;0,0;18,1
24;9,6;01/04/1970;5:17:02;3,0;15,0;0,0;18,6
25;10;01/04/1970;5:17:02;3,0;15,1;0,0;18,6
26;10,4;01/04/1970;5:17:03;3,0;15,1;0,0;18,1
27;10,8;01/04/1970;5:17:03;3,0;15,2;0,0;17,9
28;11,2;01/04/1970;5:17:03;3,0;15,1;0,0;18,3
29;11,6;01/04/1970;5:17:04;3,0;15,1;0,0;19,0
30;12;01/04/1970;5:17:04;3,0;15,2;0,0;18,6
31;12,4;01/04/1970;5:17:05;3,0;15,3;0,0;18,0
32;12,8;01/04/1970;5:17:05;3,0;15,2;0,0;17,9
33;13,2;01/04/1970;5:17:05;3,0;15,3;0,0;18,2
34;13,6;01/04/1970;5:17:06;3,0;15,3;0,0;18,7
35;14;01/04/1970;5:17:06;3,0;15,2;0,0;18,7
36;14,4;01/04/1970;5:17:07;3,0;15,3;0,0;18,0
37;14,8;01/04/1970;5:17:07;3,0;15,3;0,0;18,0
38;15,2;01/04/1970;5:17:07;3,0;15,2;0,0;18,4
39;15,6;01/04/1970;5:17:08;3,0;15,2;0,0;18,6
40;16;01/04/1970;5:17:08;3,0;15,4;0,0;18,2
41;16,4;01/04/1970;5:17:09;3,0;15,2;0,0;18,3
42;16,8;01/04/1970;5:17:09;3,0;15,3;0,0;18,2
43;17,2;01/04/1970;5:17:09;3,0;15,4;0,0;18,6
44;17,6;01/04/1970;5:17:10;3,0;15,3;0,0;19,2
45;18;01/04/1970;5:17:10;3,0;15,3;0,0;18,7
46;18,4;01/04/1970;5:17:11;3,0;15,4;0,0;18,4
47;18,8;01/04/1970;5:17:11;3,0;15,4;0,0;18,3
48;19,2;01/04/1970;5:17:11;3,0;15,4;0,0;18,3
49;19,6;01/04/1970;5:17:12;3,0;15,3;0,0;19,0
50;20;01/04/1970;5:17:12;3,0;15,5;0,0;18,9
51;20,4;01/04/1970;5:17:13;3,0;15,4;0,0;18,5
52;20,8;01/04/1970;5:17:13;3,0;15,4;0,0;18,2
53;21,2;01/04/1970;5:17:13;3,0;15,5;0,0;18,5
54;21,6;01/04/1970;5:17:14;3,0;15,4;0,0;18,8
55;22;01/04/1970;5:17:14;3,0;15,5;0,0;18,7
56;22,4;01/04/1970;5:17:15;3,0;15,5;0,0;18,4
57;22,8;01/04/1970;5:17:15;3,0;15,4;0,0;18,2
58;23,2;01/04/1970;5:17:15;3,0;15,5;0,0;18,4
59;23,6;01/04/1970;5:17:16;3,0;15,5;0,0;18,9
60;24;01/04/1970;5:17:16;3,0;15,4;0,0;18,5
61;24,4;01/04/1970;5:17:17;3,0;15,5;0,0;18,4
62;24,8;01/04/1970;5:17:17;3,0;15,6;0,0;18,4
63;25,2;01/04/1970;5:17:17;3,0;15,5;0,0;18,8
64;25,6;01/04/1970;5:17:18;3,0;15,5;0,0;19,3
65;26;01/04/1970;5:17:18;3,0;15,6;0,0;19,1
66;26,4;01/04/1970;5:17:19;3,0;15,6;0,0;18,5
67;26,8;01/04/1970;5:17:19;3,0;15,6;0,0;18,2
68;27,2;01/04/1970;5:17:19;3,0;15,6;0,0;18,6
69;27,6;01/04/1970;5:17:20;3,0;15,5;0,0;19,1
70;28;01/04/1970;5:17:20;3,0;15,6;0,0;18,8
71;28,4;01/04/1970;5:17:21;3,0;15,6;0,0;18,4
72;28,8;01/04/1970;5:17:21;3,0;15,7;0,0;18,3
73;29,2;01/04/1970;5:17:21;3,0;15,6;0,0;18,5
74;29,6;01/04/1970;5:17:22;3,0;15,5;0,0;19,2
75;30;01/04/1970;5:17:22;3,0;15,7;0,0;18,8
76;30,4;01/04/1970;5:17:23;3,0;15,6;0,0;18,6
77;30,8;01/04/1970;5:17:23;3,0;15,7;0,0;18,4
78;31,2;01/04/1970;5:17:23;3,0;15,7;0,0;18,7
79;31,6;01/04/1970;5:17:24;3,0;15,5;0,0;19,2
80;32;01/04/1970;5:17:24;3,0;15,7;0,0;19,1
81;32,4;01/04/1970;5:17:25;3,0;15,7;0,0;18,9
82;32,8;01/04/1970;5:17:25;3,0;15,6;0,0;17,9
83;33,2;01/04/1970;5:17:25;3,0;15,7;0,0;18,0
84;33,6;01/04/1970;5:17:26;3,0;15,6;0,0;18,3
85;34;01/04/1970;5:17:26;3,0;15,6;0,0;18,2
86;34,4;01/04/1970;5:17:27;3,0;15,7;0,0;17,5
87;34,8;01/04/1970;5:17:27;3,0;15,7;0,0;17,3
88;35,2;01/04/1970;5:17:27;3,0;15,7;0,0;17,5
89;35,6;01/04/1970;5:17:28;3,0;15,7;0,0;18,1
90;36;01/04/1970;5:17:28;3,0;15,8;0,0;17,7
91;36,4;01/04/1970;5:17:29;3,0;15,7;0,0;17,5
92;36,8;01/04/1970;5:17:29;3,0;15,7;0,0;17,3
93;37,2;01/04/1970;5:17:29;3,0;15,8;0,0;17,7
94;37,6;01/04/1970;5:17:30;3,0;15,8;0,0;18,3
95;38;01/04/1970;5:17:30;3,0;15,8;0,0;18,4
96;38,4;01/04/1970;5:17:31;3,0;15,8;0,0;18,0
97;38,8;01/04/1970;5:17:31;3,0;15,9;0,0;17,7
98;39,2;01/04/1970;5:17:31;3,0;15,8;0,0;18,0
99;39,6;01/04/1970;5:17:32;3,0;15,6;0,0;18,8
100;40;01/04/1970;5:17:32;3,0;15,9;0,0;18,8
101;40,4;01/04/1970;5:17:33;3,0;15,9;0,0;18,3
102;40,8;01/04/1970;5:17:33;3,0;15,9;0,0;18,2
103;41,2;01/04/1970;5:17:33;3,0;15,9;0,0;18,2
104;41,6;01/04/1970;5:17:34;3,0;15,8;0,0;18,6
105;42;01/04/1970;5:17:34;3,0;15,9;0,0;18,5
106;42,4;01/04/1970;5:17:35;3,0;15,9;0,0;17,7
107;42,8;01/04/1970;5:17:35;3,0;15,8;0,0;17,1
108;43,2;01/04/1970;5:17:35;3,0;15,9;0,0;17,4
109;43,6;01/04/1970;5:17:36;3,0;15,9;0,0;18,1
110;44;01/04/1970;5:17:36;3,0;15,9;0,0;18,0
111;44,4;01/04/1970;5:17:37;3,0;15,9;0,0;17,6
112;44,8;01/04/1970;5:17:37;3,0;16,0;0,0;17,4
113;45,2;01/04/1970;5:17:37;3,0;15,9;0,0;17,8
114;45,6;01/04/1970;5:17:38;3,0;15,8;0,0;18,3
115;46;01/04/1970;5:17:38;3,0;16,0;0,0;18,4
116;46,4;01/04/1970;5:17:39;3,0;16,0;0,0;18,2
117;46,8;01/04/1970;5:17:39;3,0;16,0;0,0;17,8
118;47,2;01/04/1970;5:17:39;3,0;16,0;0,0;18,3
119;47,6;01/04/1970;5:17:40;3,0;16,0;0,0;18,9
120;48;01/04/1970;5:17:40;3,0;16,0;0,0;18,7
121;48,4;01/04/1970;5:17:41;3,0;16,1;0,0;18,7
122;48,8;01/04/1970;5:17:41;3,0;16,0;0,0;18,5
123;49,2;01/04/1970;5:17:41;3,0;16,0;0,0;18,5
124;49,6;01/04/1970;5:17:42;3,0;16,0;0,0;19,2
125;50;01/04/1970;5:17:42;3,0;16,1;0,0;19,2
126;50,4;01/04/1970;5:17:43;3,0;16,0;0,0;19,0
127;50,8;01/04/1970;5:17:43;3,0;16,1;0,0;18,6
128;51,2;01/04/1970;5:17:43;3,0;16,1;0,0;18,7
129;51,6;01/04/1970;5:17:44;3,0;16,0;0,0;19,2
130;52;01/04/1970;5:17:44;3,0;16,1;0,0;19,2
131;52,4;01/04/1970;5:17:45;3,0;16,2;0,0;18,8
132;52,8;01/04/1970;5:17:45;3,0;16,0;0,0;18,5
133;53,2;01/04/1970;5:17:45;3,0;16,1;0,0;18,6
134;53,6;01/04/1970;5:17:46;3,0;16,1;0,0;19,1
135;54;01/04/1970;5:17:46;3,0;16,1;0,0;18,9
136;54,4;01/04/1970;5:17:47;3,0;16,1;0,0;18,7
137;54,8;01/04/1970;5:17:47;3,0;16,2;0,0;18,6
138;55,2;01/04/1970;5:17:47;3,0;16,1;0,0;18,8
139;55,6;01/04/1970;5:17:48;3,0;16,1;0,0;19,4
140;56;01/04/1970;5:17:48;3,0;16,2;0,0;19,4
141;56,4;01/04/1970;5:17:49;3,0;16,1;0,0;19,2
142;56,8;01/04/1970;5:17:49;3,0;16,2;0,0;18,7
143;57,2;01/04/1970;5:17:49;3,0;16,2;0,0;18,6
144;57,6;01/04/1970;5:17:50;3,0;16,0;0,0;19,4
145;58;01/04/1970;5:17:50;3,0;16,2;0,0;19,2
146;58,4;01/04/1970;5:17:51;3,0;16,2;0,0;19,1
147;58,8;01/04/1970;5:17:51;3,0;16,2;0,0;18,8
148;59,2;01/04/1970;5:17:51;3,0;16,2;0,0;19,0
149;59,6;01/04/1970;5:17:52;3,0;16,2;0,0;19,4
150;60;01/04/1970;5:17:52;3,0;16,2;0,0;19,4
151;60,4;01/04/1970;5:17:53;3,0;16,2;0,0;18,9
152;60,8;01/04/1970;5:17:53;3,0;16,2;0,0;18,7
153;61,2;01/04/1970;5:17:53;3,0;16,3;0,0;18,7
154;61,6;01/04/1970;5:17:54;3,0;16,2;0,0;19,3
155;62;01/04/1970;5:17:54;3,0;16,3;0,0;19,2
156;62,4;01/04/1970;5:17:55;3,0;16,3;0,0;19,0
157;62,8;01/04/1970;5:17:55;3,0;16,3;0,0;18,6
158;63,2;01/04/1970;5:17:55;3,0;16,3;0,0;19,0
159;63,6;01/04/1970;5:17:56;3,0;16,4;0,0;19,4
160;64;01/04/1970;5:17:56;3,0;16,3;0,0;19,3
161;64,4;01/04/1970;5:17:57;3,0;16,3;0,0;19,0
162;64,8;01/04/1970;5:17:57;3,0;16,4;0,0;18,6
163;65,2;01/04/1970;5:17:57;3,0;16,2;0,0;18,8
164;65,6;01/04/1970;5:17:58;3,0;16,3;0,0;19,2
165;66;01/04/1970;5:17:58;3,0;16,4;0,0;19,3
166;66,4;01/04/1970;5:17:59;3,0;16,2;0,0;19,0
167;66,8;01/04/1970;5:17:59;3,0;16,3;0,0;18,7
168;67,2;01/04/1970;5:17:59;3,0;16,3;0,0;19,0
169;67,6;01/04/1970;5:18:00;3,0;16,3;0,0;19,7
170;68;01/04/1970;5:18:00;3,0;16,3;0,0;19,7
171;68,4;01/04/1970;5:18:01;3,0;16,3;0,0;18,3
172;68,8;01/04/1970;5:18:01;3,0;16,3;0,0;17,4
