Record;Tiempo;Date;UTC Time;Frecuencia;Presion;caudal1;caudal2
1;0,4; 1/01/1970;20:48:25;5;15,0;5,6;18,4
2;0,8; 1/01/1970;20:48:25;5;15,2;5,6;17,2
3;1,2; 1/01/1970;20:48:25;5;15,0;5,6;16,2
4;1,6; 1/01/1970;20:48:26;5;15,0;5,6;14,3
5;2; 1/01/1970;20:48:26;5;15,0;5,6;14,2
6;2,4; 1/01/1970;20:48:27;5;15,0;5,6;14,5
7;2,8; 1/01/1970;20:48:27;5;15,0;5,6;14,8
8;3,2; 1/01/1970;20:48:27;5;15,1;5,6;15,5
9;3,6; 1/01/1970;20:48:28;5;15,2;5,6;16,2
10;4; 1/01/1970;20:48:28;5;15,1;5,6;16,5
11;4,4; 1/01/1970;20:48:29;5;15,3;5,6;16,8
12;4,8; 1/01/1970;20:48:29;5;15,4;5,6;17,0
13;5,2; 1/01/1970;20:48:29;5;15,2;5,6;17,0
14;5,6; 1/01/1970;20:48:30;5;15,2;5,6;17,2
15;6; 1/01/1970;20:48:30;5;15,2;5,6;17,5
16;6,4; 1/01/1970;20:48:31;5;15,1;5,6;17,7
17;6,8; 1/01/1970;20:48:31;5;15,2;5,6;17,7
18;7,2; 1/01/1970;20:48:31;5;15,2;5,6;17,5
19;7,6; 1/01/1970;20:48:32;5;15,1;5,6;17,6
20;8; 1/01/1970;20:48:32;5;15,3;5,6;17,7
21;8,4; 1/01/1970;20:48:33;5;15,5;5,6;16,7
22;8,8; 1/01/1970;20:48:33;5;15,3;5,6;16,6
23;9,2; 1/01/1970;20:48:33;5;15,4;5,6;16,2
24;9,6; 1/01/1970;20:48:34;5;15,5;5,6;16,3
25;10; 1/01/1970;20:48:34;5;15,5;5,6;15,9
26;10,4; 1/01/1970;20:48:35;5;15,5;5,6;16,1
27;10,8; 1/01/1970;20:48:35;5;15,6;5,6;15,6
28;11,2; 1/01/1970;20:48:35;5;15,5;5,6;15,6
29;11,6; 1/01/1970;20:48:36;5;15,5;5,6;15,6
30;12; 1/01/1970;20:48:36;5;15,6;5,6;16,1
31;12,4; 1/01/1970;20:48:37;5;15,4;5,6;16,3
32;12,8; 1/01/1970;20:48:37;5;15,4;5,6;16,0
33;13,2; 1/01/1970;20:48:37;5;15,3;5,6;16,1
34;13,6; 1/01/1970;20:48:38;5;15,3;5,6;16,2
35;14; 1/01/1970;20:48:38;5;15,3;5,6;16,4
36;14,4; 1/01/1970;20:48:39;5;15,3;5,6;16,6
37;14,8; 1/01/1970;20:48:39;5;15,3;5,6;17,0
38;15,2; 1/01/1970;20:48:39;5;15,5;5,6;16,9
39;15,6; 1/01/1970;20:48:40;5;15,6;5,6;16,8
40;16; 1/01/1970;20:48:40;5;15,6;5,6;16,4
41;16,4; 1/01/1970;20:48:41;5;15,7;5,6;16,6
42;16,8; 1/01/1970;20:48:41;5;15,7;5,6;16,5
43;17,2; 1/01/1970;20:48:41;5;15,7;5,6;16,9
44;17,6; 1/01/1970;20:48:42;5;15,4;5,6;16,5
45;18; 1/01/1970;20:48:42;5;15,6;5,6;16,0
46;18,4; 1/01/1970;20:48:43;5;15,3;5,6;16,0
47;18,8; 1/01/1970;20:48:43;5;15,2;5,6;16,0
48;19,2; 1/01/1970;20:48:43;5;15,2;5,6;16,0
49;19,6; 1/01/1970;20:48:44;5;15,4;5,6;15,9
50;20; 1/01/1970;20:48:44;5;15,3;5,6;15,6
51;20,4; 1/01/1970;20:48:45;5;15,6;5,6;15,8
52;20,8; 1/01/1970;20:48:45;5;15,7;5,6;16,0
53;21,2; 1/01/1970;20:48:45;5;15,6;5,6;16,4
54;21,6; 1/01/1970;20:48:46;5;15,8;5,6;16,1
55;22; 1/01/1970;20:48:46;5;15,9;5,6;16,2
56;22,4; 1/01/1970;20:48:47;5;15,8;5,6;16,2
57;22,8; 1/01/1970;20:48:47;5;15,8;5,6;16,2
58;23,2; 1/01/1970;20:48:47;5;15,8;5,6;15,7
59;23,6; 1/01/1970;20:48:48;5;15,7;5,6;16,0
60;24; 1/01/1970;20:48:48;5;15,7;5,6;15,6
61;24,4; 1/01/1970;20:48:49;5;15,9;5,6;15,3
62;24,8; 1/01/1970;20:48:49;5;15,6;5,6;15,0
63;25,2; 1/01/1970;20:48:49;5;15,8;5,6;14,9
64;25,6; 1/01/1970;20:48:50;5;16,0;5,6;15,1
65;26; 1/01/1970;20:48:50;5;15,8;5,6;16,4
66;26,4; 1/01/1970;20:48:51;5;15,9;5,6;16,6
67;26,8; 1/01/1970;20:48:51;5;15,9;5,6;16,7
68;27,2; 1/01/1970;20:48:51;5;15,9;5,6;16,6
69;27,6; 1/01/1970;20:48:52;5;16,0;5,6;15,9
70;28; 1/01/1970;20:48:52;5;16,1;5,6;15,6
71;28,4; 1/01/1970;20:48:53;5;16,0;5,6;15,0
72;28,8; 1/01/1970;20:48:53;5;16,0;5,6;15,5
73;29,2; 1/01/1970;20:48:53;5;16,1;5,6;15,6
74;29,6; 1/01/1970;20:48:54;5;16,0;5,6;15,9
75;30; 1/01/1970;20:48:54;5;16,0;5,6;16,0
76;30,4; 1/01/1970;20:48:55;5;16,1;5,6;15,7
77;30,8; 1/01/1970;20:48:55;5;16,1;5,6;16,2
78;31,2; 1/01/1970;20:48:55;5;16,2;5,6;16,0
79;31,6; 1/01/1970;20:48:56;5;16,2;5,6;15,7
80;32; 1/01/1970;20:48:56;5;16,2;5,6;14,9
81;32,4; 1/01/1970;20:48:57;5;16,2;5,6;15,1
82;32,8; 1/01/1970;20:48:57;5;16,3;5,6;15,0
83;33,2; 1/01/1970;20:48:57;5;16,3;5,6;15,4
84;33,6; 1/01/1970;20:48:58;5;16,2;5,6;15,3
85;34; 1/01/1970;20:48:58;5;16,3;5,6;15,4
86;34,4; 1/01/1970;20:48:59;5;16,4;5,6;15,6
87;34,8; 1/01/1970;20:48:59;5;16,3;5,6;15,7
88;35,2; 1/01/1970;20:48:59;5;16,2;5,6;16,3
89;35,6; 1/01/1970;20:49:00;5;16,3;5,6;16,8
90;36; 1/01/1970;20:49:00;5;16,2;5,6;17,1
91;36,4; 1/01/1970;20:49:01;5;16,2;5,6;16,6
92;36,8; 1/01/1970;20:49:01;5;16,3;5,6;16,6
93;37,2; 1/01/1970;20:49:01;5;16,3;5,6;16,4
94;37,6; 1/01/1970;20:49:02;5;16,5;5,6;16,6
95;38; 1/01/1970;20:49:02;5;16,5;5,6;16,5
96;38,4; 1/01/1970;20:49:03;5;16,4;5,6;15,9
97;38,8; 1/01/1970;20:49:03;5;16,5;5,6;15,5
98;39,2; 1/01/1970;20:49:03;5;16,5;5,6;15,5
99;39,6; 1/01/1970;20:49:04;5;16,3;5,6;15,8
100;40; 1/01/1970;20:49:04;5;16,3;5,6;16,0
101;40,4; 1/01/1970;20:49:05;5;16,4;5,6;16,4
102;40,8; 1/01/1970;20:49:05;5;16,4;5,6;16,4
103;41,2; 1/01/1970;20:49:05;5;16,6;5,6;16,0
104;41,6; 1/01/1970;20:49:06;5;16,6;5,6;15,4
105;42; 1/01/1970;20:49:06;5;16,7;5,6;15,4
106;42,4; 1/01/1970;20:49:07;5;16,7;5,6;15,4
